return_id,order_id,return_date,reason,refund_amount,condition
1,723,2024-08-24,Quality Issue,632.77,Open Box
2,814,2024-12-13,Not Needed,1002.72,Open Box
3,247,2024-04-02,Quality Issue,231.59,Open Box
4,38,2024-02-27,Defective,97.53,New
5,152,2024-01-30,Defective,1497.36,Open Box
6,153,2024-11-18,Defective,430.89,Used
7,705,2024-04-08,Not Needed,873.11,Damaged
8,446,2024-11-27,Quality Issue,192.7,Used
9,960,2025-01-20,Wrong Item,1344.43,New
10,373,2024-03-22,Wrong Item,592.28,Used
11,68,2025-06-26,Defective,56.76,Used
12,399,2024-09-13,Wrong Item,1220.65,Damaged
13,675,2024-12-30,Quality Issue,1177.75,Used
14,461,2025-05-03,Wrong Item,1225.51,Damaged
15,675,2025-01-29,Not Needed,1437.52,Open Box
16,8,2025-03-07,Wrong Item,1431.89,Damaged
17,96,2024-07-30,Quality Issue,1314.53,Used
18,152,2025-03-10,Defective,1327.49,Open Box
19,526,2024-12-24,Damaged,748.08,Used
20,930,2024-07-18,Wrong Item,1083.97,Damaged
21,40,2025-05-18,Defective,950.99,Used
22,820,2025-04-07,Damaged,565.81,New
23,108,2025-03-29,Quality Issue,1159.64,Open Box
24,217,2024-04-05,Wrong Item,505.45,Used
25,544,2024-10-03,Quality Issue,1335.48,Open Box
26,446,2024-12-22,Defective,687.88,Used
27,552,2024-06-22,Quality Issue,76.33,Used
28,19,2025-04-20,Quality Issue,888.09,New
29,486,2024-04-14,Quality Issue,1394.28,Open Box
30,946,2024-04-30,Not Needed,1253.86,Open Box
31,461,2024-01-05,Not Needed,457.42,New
32,837,2024-10-14,Wrong Item,1005.96,Used
33,405,2024-06-01,Not Needed,16.38,Open Box
34,42,2024-07-13,Wrong Item,1428.49,Damaged
35,245,2024-03-13,Quality Issue,13.35,New
36,982,2024-10-31,Defective,1205.56,Used
37,549,2025-03-25,Damaged,1410.48,New
38,514,2024-01-08,Not Needed,1155.66,New
39,509,2024-01-03,Damaged,327.99,Used
40,799,2024-03-28,Defective,1284.3,Damaged
41,575,2024-04-19,Not Needed,274.08,Open Box
42,15,2025-04-28,Quality Issue,128.72,Open Box
43,970,2024-12-15,Quality Issue,40.83,Open Box
44,954,2024-05-24,Not Needed,261.84,Used
45,688,2024-09-16,Not Needed,629.21,Damaged
46,209,2024-05-02,Wrong Item,548.53,Used
47,317,2024-05-23,Damaged,1040.42,New
48,79,2024-03-29,Wrong Item,1311.1,New
49,977,2024-07-25,Wrong Item,108.31,Used
50,989,2025-05-10,Wrong Item,178.92,Damaged
51,346,2024-12-15,Defective,755.69,Damaged
52,524,2024-01-07,Defective,727.05,Used
53,805,2024-07-14,Defective,540.83,New
54,362,2024-02-07,Wrong Item,587.94,Open Box
55,559,2024-03-09,Not Needed,1090.72,New
56,65,2024-01-22,Wrong Item,227.26,Open Box
57,535,2024-02-17,Damaged,299.31,Used
58,31,2024-09-16,Not Needed,1281.72,Damaged
59,107,2024-08-22,Damaged,1166.03,Damaged
60,218,2024-03-23,Wrong Item,293.31,Damaged
61,793,2024-11-08,Damaged,1124.12,New
62,1000,2025-01-11,Wrong Item,1253.42,Damaged
63,571,2024-11-05,Quality Issue,587.04,Used
64,204,2024-01-31,Defective,64.21,Open Box
65,4,2025-02-10,Damaged,539.58,Used
66,665,2025-01-21,Not Needed,629.15,New
67,993,2025-01-23,Not Needed,1294.39,New
68,138,2024-11-16,Defective,896.03,New
69,608,2025-03-07,Wrong Item,715.41,Used
70,123,2025-02-15,Damaged,1218.14,Used
71,252,2024-09-30,Not Needed,810.25,Damaged
72,301,2024-11-13,Defective,1289.4,New
73,962,2024-05-05,Not Needed,1000.59,Open Box
74,713,2024-08-27,Not Needed,1225.38,Open Box
75,288,2024-09-08,Not Needed,1276.11,New
76,999,2024-01-13,Damaged,552.04,Damaged
77,316,2024-02-27,Not Needed,616.24,New
78,292,2024-12-31,Not Needed,285.32,New
79,891,2024-01-23,Wrong Item,1397.8,New
80,372,2024-07-31,Defective,151.78,Used
81,787,2024-06-03,Not Needed,484.28,New
82,188,2024-06-02,Damaged,326.34,New
83,238,2024-10-14,Defective,422.01,New
84,832,2024-04-18,Damaged,1403.46,Used
85,929,2024-11-08,Damaged,990.27,New
86,917,2024-06-05,Quality Issue,1130.93,New
87,320,2025-05-19,Quality Issue,148.52,Used
88,276,2025-04-13,Defective,213.97,New
89,972,2024-09-10,Damaged,15.97,Damaged
90,44,2024-03-17,Quality Issue,1216.16,Damaged
91,555,2025-02-06,Defective,403.78,Open Box
92,84,2024-04-20,Not Needed,260.89,New
93,646,2024-02-06,Defective,710.77,Open Box
94,174,2025-01-03,Damaged,365.49,Damaged
95,6,2025-05-30,Damaged,1313.86,Open Box
96,505,2025-03-29,Damaged,364.49,Damaged
97,217,2024-11-26,Damaged,1003.65,Open Box
98,845,2024-03-04,Damaged,446.13,Open Box
99,415,2024-09-11,Damaged,623.2,Used
100,276,2024-02-02,Wrong Item,928.41,New
101,724,2024-07-25,Quality Issue,389.95,Damaged
102,2,2025-01-26,Defective,614.26,Open Box
103,765,2025-01-08,Not Needed,1040.04,Open Box
104,834,2024-05-10,Damaged,188.77,Open Box
105,136,2024-10-13,Defective,353.97,Open Box
106,763,2024-09-02,Defective,1099.57,Damaged
107,137,2025-02-25,Wrong Item,422.06,New
108,589,2024-06-30,Defective,981.26,New
109,850,2024-02-07,Defective,625.9,Used
110,212,2024-10-25,Quality Issue,225.13,New
111,890,2024-10-05,Not Needed,494.42,Damaged
112,388,2024-12-16,Damaged,1023.67,Damaged
113,680,2025-01-17,Wrong Item,1288.06,Open Box
114,212,2024-04-13,Quality Issue,536.24,Open Box
115,502,2025-02-02,Quality Issue,1424.22,Damaged
116,51,2024-07-04,Not Needed,14.56,Damaged
117,163,2025-05-27,Defective,1174.28,New
118,767,2024-08-24,Quality Issue,791.18,Open Box
119,424,2024-01-03,Defective,1323.15,Open Box
120,291,2024-06-05,Not Needed,273.82,New
121,485,2024-05-12,Damaged,107.29,Damaged
122,357,2024-03-16,Not Needed,969.93,Damaged
123,206,2024-08-02,Not Needed,1260.81,Damaged
124,277,2024-03-16,Wrong Item,725.72,Damaged
125,927,2024-06-03,Wrong Item,35.55,Open Box
126,661,2024-04-17,Quality Issue,583.03,Open Box
127,113,2024-12-03,Not Needed,1084.65,Used
128,707,2024-01-21,Defective,415.0,Used
129,765,2024-08-01,Quality Issue,40.25,New
130,248,2025-03-25,Not Needed,385.63,Open Box
131,776,2024-10-24,Damaged,1285.22,Open Box
132,643,2024-09-01,Quality Issue,1466.4,New
133,153,2024-02-22,Defective,497.79,Damaged
134,582,2024-05-13,Not Needed,12.18,Open Box
135,192,2024-01-27,Defective,1101.6,Damaged
136,258,2024-04-20,Not Needed,883.43,Damaged
137,686,2025-06-02,Damaged,852.17,Used
138,99,2024-10-24,Quality Issue,713.06,Open Box
139,912,2024-10-25,Wrong Item,493.83,Used
140,366,2024-12-25,Quality Issue,1140.8,Used
141,505,2024-03-21,Wrong Item,651.93,New
142,707,2025-03-19,Defective,163.76,Open Box
143,237,2024-09-24,Quality Issue,1301.16,Open Box
144,479,2024-12-01,Quality Issue,807.12,New
145,106,2025-03-27,Damaged,667.51,Open Box
146,227,2024-03-29,Wrong Item,335.52,New
147,38,2025-05-13,Not Needed,27.43,Damaged
148,124,2024-08-01,Not Needed,968.1,Damaged
149,915,2024-10-16,Wrong Item,149.29,Open Box
150,627,2024-07-23,Defective,149.33,Used
