sale_id,date,product_sku,product_name,category,gender,region,state,city,retailer,sales_channel,units_sold,unit_price,total_sales,operating_profit,margin_pct
1,2025-06-15,ADS6362,Training,Training,Unisex,West,Pennsylvania,Ninaside,Dicks Sporting Goods,Online,3,203.62,610.86,229.68,37.6
2,2024-06-09,ADS9871,X Speedportal,Football,Men,Southeast,Illinois,West Janet,Dicks Sporting Goods,Retail,34,66.09,2247.06,975.22,43.4
3,2024-06-05,ADS9518,Training,Training,Unisex,Midwest,Georgia,Stewartside,Adidas.com,Online,4,123.2,492.8,256.26,52.0
4,2024-09-13,ADS4342,NMD,Lifestyle,Women,Southeast,Illinois,Kristinburgh,Adidas.com,Online,18,243.73,4387.14,1544.27,35.2
5,2024-10-01,ADS7139,Adicross,Golf,Men,West,Georgia,Jonesland,Champs Sports,Outlet,29,222.15,6442.35,3697.91,57.4
6,2024-08-24,ADS5465,Forum,Lifestyle,Women,Southwest,California,Riddleshire,Nordstrom,Online,23,57.43,1320.89,591.76,44.8
7,2024-06-10,ADS8166,Stan Smith,Lifestyle,Unisex,Southwest,Illinois,Thomastown,Champs Sports,Outlet,3,226.89,680.67,364.16,53.5
8,2025-01-15,ADS4378,Stan Smith,Lifestyle,Unisex,Southwest,Illinois,Williamston,Foot Locker,Online,4,141.59,566.36,305.27,53.9
9,2025-04-17,ADS3515,Stan Smith,Lifestyle,Unisex,West,Ohio,South Jose,Adidas.com,Online,23,187.78,4318.94,2042.86,47.3
10,2024-11-13,ADS4563,Adizero,Running,Men,West,Florida,New Tyler,Adidas.com,Outlet,23,224.09,5154.07,3303.76,64.1
11,2025-01-18,ADS2463,Forum,Lifestyle,Women,Southeast,Georgia,Mariaview,Dicks Sporting Goods,Retail,21,132.61,2784.81,1434.18,51.5
12,2024-10-12,ADS8826,X Speedportal,Football,Men,West,Illinois,Lake Joseport,Macys,Outlet,39,81.77,3189.03,1470.14,46.1
13,2024-10-26,ADS1366,Training,Training,Unisex,Southwest,Ohio,Port Tiffany,Foot Locker,Outlet,36,35.54,1279.44,681.94,53.3
14,2025-06-07,ADS7138,Forum,Lifestyle,Men,Midwest,Texas,North Eric,Dicks Sporting Goods,Outlet,5,165.54,827.7,403.09,48.7
15,2025-02-23,ADS3706,X Speedportal,Football,Men,Midwest,Florida,North Shaun,Foot Locker,Retail,20,99.27,1985.4,1054.25,53.1
16,2024-06-12,ADS5006,X Speedportal,Football,Men,West,Ohio,Lyonsmouth,Eastbay,Retail,12,168.28,2019.36,1021.8,50.6
17,2025-02-07,ADS6230,Ultraboost,Running,Women,West,California,Jonathanville,Eastbay,Online,23,130.66,3005.18,1394.4,46.4
18,2025-05-29,ADS4444,Terrex,Outdoor,Men,Midwest,Florida,Torresshire,Champs Sports,Outlet,47,105.12,4940.64,2638.3,53.4
19,2024-03-22,ADS7726,Forum,Lifestyle,Women,West,New York,Blackborough,Dicks Sporting Goods,Outlet,7,176.31,1234.17,556.61,45.1
20,2024-01-09,ADS1880,Ultraboost,Running,Men,Southwest,Georgia,West Joshuastad,Finish Line,Retail,18,213.46,3842.28,2228.52,58.0
21,2025-01-15,ADS8645,Forum,Lifestyle,Men,Northeast,California,Christophertown,Adidas.com,Online,24,109.34,2624.16,1385.56,52.8
22,2024-04-02,ADS8452,Forum,Lifestyle,Men,Southeast,Illinois,Jeffreyburgh,Macys,Online,42,239.2,10046.4,4279.77,42.6
23,2024-05-07,ADS9790,Adizero,Running,Men,Southwest,New York,North Tammy,Dicks Sporting Goods,Retail,43,211.01,9073.43,3892.5,42.9
24,2024-11-26,ADS5170,Terrex,Outdoor,Men,Northeast,Florida,Port Christopher,Nordstrom,Retail,33,135.68,4477.44,2019.33,45.1
25,2024-02-19,ADS7129,Forum,Lifestyle,Women,Southwest,Florida,Gambleberg,Nordstrom,Online,26,101.44,2637.44,1345.09,51.0
26,2025-03-28,ADS7109,Predator,Football,Men,Midwest,Michigan,New Kristin,Adidas.com,Outlet,35,220.05,7701.75,3542.8,46.0
27,2024-08-20,ADS8992,Terrex,Outdoor,Men,Midwest,Michigan,Whitemouth,Foot Locker,Outlet,39,139.49,5440.11,2393.65,44.0
28,2025-03-01,ADS9698,Cloudfoam,Casual,Unisex,Midwest,Texas,North Kevin,Finish Line,Retail,10,121.53,1215.3,712.17,58.6
29,2024-09-01,ADS5947,Superstar,Lifestyle,Unisex,Southwest,California,West Loritown,Macys,Online,48,86.24,4139.52,2363.67,57.1
30,2025-05-07,ADS8284,Ultraboost,Running,Women,Northeast,Illinois,South Deanport,Eastbay,Outlet,26,56.88,1478.88,875.5,59.2
31,2024-08-28,ADS5765,Forum,Lifestyle,Women,Northeast,Michigan,Smallberg,Nordstrom,Outlet,45,189.88,8544.6,3622.91,42.4
32,2024-04-09,ADS4551,Adicross,Golf,Men,Southwest,Illinois,Christopherchester,Nordstrom,Outlet,3,157.96,473.88,239.31,50.5
33,2025-06-08,ADS7361,Training,Training,Unisex,Northeast,California,Camposberg,Foot Locker,Retail,30,42.97,1289.1,461.5,35.8
34,2025-01-23,ADS1644,Terrex,Outdoor,Men,Northeast,Pennsylvania,Lake Meredithton,Adidas.com,Retail,2,167.39,334.78,183.46,54.8
35,2024-12-23,ADS1547,Ultraboost,Running,Women,Southwest,Michigan,Johnside,Champs Sports,Outlet,42,158.15,6642.3,2862.83,43.1
36,2024-11-30,ADS2603,Superstar,Lifestyle,Unisex,Southwest,New York,Michaelmouth,Foot Locker,Outlet,21,237.99,4997.79,2219.02,44.4
37,2024-09-29,ADS7950,Terrex,Outdoor,Men,Southwest,Georgia,Lake Sherry,Finish Line,Retail,50,159.33,7966.5,3353.9,42.1
38,2024-09-21,ADS7029,NMD,Lifestyle,Men,Midwest,Michigan,Mccoymouth,Champs Sports,Online,32,204.98,6559.36,4263.58,65.0
39,2024-06-01,ADS9820,Forum,Lifestyle,Women,Southeast,Illinois,Stevenland,Foot Locker,Online,9,47.43,426.87,166.48,39.0
40,2025-06-26,ADS1119,Predator,Football,Men,Northeast,Illinois,Brooksfurt,Finish Line,Online,7,207.18,1450.26,835.35,57.6
41,2025-03-29,ADS6075,Ultraboost,Running,Women,West,Florida,Stephenfurt,Champs Sports,Retail,20,230.82,4616.4,1841.94,39.9
42,2024-02-11,ADS7783,Predator,Football,Men,Southwest,Texas,Richardsmouth,Macys,Outlet,46,102.43,4711.78,2742.26,58.2
43,2024-01-16,ADS1180,Ultraboost,Running,Men,Northeast,Pennsylvania,Port Michaelmouth,Finish Line,Retail,50,77.14,3857.0,2337.34,60.6
44,2024-01-04,ADS7387,Cloudfoam,Casual,Unisex,Northeast,Michigan,Danielland,Dicks Sporting Goods,Retail,36,216.35,7788.6,4626.43,59.4
