order_id,order_date,order_time,pizza_id,pizza_name,pizza_category,pizza_size,quantity,unit_price,total_price,ingredients,pizza_type
1,2024-07-19,13:47:45,PIZ0001,Margherita,Classic,Large,5,16.18,80.9,"Cheese, Sauce, Toppings",Vegetarian
2,2024-02-06,14:50:00,PIZ0002,Chicken Pesto,Chicken,Medium,1,16.77,16.77,"Cheese, Sauce, Toppings",Vegetarian
3,2024-05-07,13:38:39,PIZ0003,Chicken Supreme,Chicken,Large,4,12.4,49.6,"Cheese, Sauce, Toppings",Non-Veg
4,2024-09-25,12:30:40,PIZ0004,Chicken Supreme,Chicken,Large,3,9.6,28.8,"Cheese, Sauce, Toppings",Vegetarian
5,2025-03-17,23:19:50,PIZ0005,Vegetarian Supreme,Supreme,Medium,2,8.43,16.86,"Cheese, Sauce, Toppings",Non-Veg
6,2025-06-01,11:03:59,PIZ0006,BBQ Chicken,Chicken,Large,5,8.59,42.95,"Cheese, Sauce, Toppings",Vegetarian
7,2025-06-15,19:06:09,PIZ0007,Pepperoni Feast,Classic,Large,5,24.08,120.4,"Cheese, Sauce, Toppings",Non-Veg
8,2024-08-12,23:00:31,PIZ0008,Pepperoni Feast,Classic,Large,1,22.31,22.31,"Cheese, Sauce, Toppings",Vegetarian
9,2024-07-02,11:27:36,PIZ0009,Margherita,Classic,Large,1,22.08,22.08,"Cheese, Sauce, Toppings",Non-Veg
10,2024-01-01,18:52:25,PIZ0010,Spicy Italian,Supreme,Medium,3,18.65,55.95,"Cheese, Sauce, Toppings",Non-Veg
11,2025-05-31,22:45:22,PIZ0011,Chicken Supreme,Chicken,Large,4,13.23,52.92,"Cheese, Sauce, Toppings",Vegetarian
12,2024-05-08,14:01:03,PIZ0012,Chicken Supreme,Chicken,Large,1,17.86,17.86,"Cheese, Sauce, Toppings",Non-Veg
13,2024-03-16,17:11:33,PIZ0013,Pepperoni Feast,Classic,Large,5,16.67,83.35,"Cheese, Sauce, Toppings",Non-Veg
14,2024-12-12,16:17:27,PIZ0014,Spicy Italian,Supreme,Medium,2,21.92,43.84,"Cheese, Sauce, Toppings",Vegetarian
15,2024-01-08,17:03:28,PIZ0015,Mushroom & Olive,Vegetarian,Small,5,9.12,45.6,"Cheese, Sauce, Toppings",Vegetarian
16,2025-05-25,21:09:56,PIZ0016,Vegetarian Supreme,Supreme,Medium,3,17.23,51.69,"Cheese, Sauce, Toppings",Vegetarian
17,2025-03-27,20:08:07,PIZ0017,Spicy Italian,Supreme,Medium,3,12.28,36.84,"Cheese, Sauce, Toppings",Vegetarian
18,2024-09-17,13:17:56,PIZ0018,Vegetarian Supreme,Supreme,Medium,5,10.24,51.2,"Cheese, Sauce, Toppings",Vegetarian
19,2024-07-11,23:14:50,PIZ0019,Truffle Mushroom,Supreme,Small,5,21.58,107.9,"Cheese, Sauce, Toppings",Non-Veg
20,2025-05-08,15:32:23,PIZ0020,Mushroom & Olive,Vegetarian,Small,4,9.39,37.56,"Cheese, Sauce, Toppings",Vegetarian
21,2024-05-15,10:27:47,PIZ0021,Chicken Supreme,Chicken,Large,4,16.33,65.32,"Cheese, Sauce, Toppings",Vegetarian
22,2024-11-10,20:00:12,PIZ0022,Mushroom & Olive,Vegetarian,Small,3,11.73,35.19,"Cheese, Sauce, Toppings",Vegetarian
23,2024-08-18,14:34:22,PIZ0023,Mushroom & Olive,Vegetarian,Small,2,11.67,23.34,"Cheese, Sauce, Toppings",Vegetarian
24,2024-12-20,17:11:43,PIZ0024,Chicken Supreme,Chicken,Large,2,15.56,31.12,"Cheese, Sauce, Toppings",Vegetarian
25,2024-01-09,13:15:16,PIZ0025,The Meatlovers,Supreme,Large,1,10.02,10.02,"Cheese, Sauce, Toppings",Non-Veg
26,2024-05-04,11:57:23,PIZ0026,Margherita,Classic,Large,5,15.5,77.5,"Cheese, Sauce, Toppings",Non-Veg
27,2024-03-21,21:02:56,PIZ0027,Classic Pepperoni,Classic,Large,4,13.46,53.84,"Cheese, Sauce, Toppings",Vegetarian
28,2024-04-01,22:25:59,PIZ0028,Mushroom & Olive,Vegetarian,Small,4,8.3,33.2,"Cheese, Sauce, Toppings",Vegetarian
29,2025-05-25,20:35:10,PIZ0029,Margherita,Classic,Large,4,16.17,64.68,"Cheese, Sauce, Toppings",Non-Veg
30,2025-03-01,16:57:00,PIZ0030,Margherita,Classic,Large,3,13.6,40.8,"Cheese, Sauce, Toppings",Vegetarian
31,2024-08-19,20:45:12,PIZ0031,Pepperoni Feast,Classic,Large,4,11.14,44.56,"Cheese, Sauce, Toppings",Non-Veg
32,2025-04-14,10:09:17,PIZ0032,Vegetarian Supreme,Supreme,Medium,3,13.97,41.91,"Cheese, Sauce, Toppings",Vegetarian
33,2025-06-21,17:03:24,PIZ0033,Hawaiian,Classic,Large,2,23.14,46.28,"Cheese, Sauce, Toppings",Vegetarian
34,2024-03-17,14:41:51,PIZ0034,Margherita,Classic,Large,2,21.17,42.34,"Cheese, Sauce, Toppings",Non-Veg
35,2024-07-27,18:44:49,PIZ0035,BBQ Chicken,Chicken,Large,5,16.44,82.2,"Cheese, Sauce, Toppings",Vegetarian
36,2025-01-01,22:11:38,PIZ0036,Four Cheese,Cheese,Small,4,17.47,69.88,"Cheese, Sauce, Toppings",Non-Veg
37,2025-02-18,11:46:47,PIZ0037,Four Cheese,Cheese,Small,4,8.69,34.76,"Cheese, Sauce, Toppings",Vegetarian
38,2024-10-18,18:47:06,PIZ0038,Pepperoni Feast,Classic,Large,1,8.74,8.74,"Cheese, Sauce, Toppings",Non-Veg
39,2024-10-26,21:58:15,PIZ0039,Four Cheese,Cheese,Small,3,24.89,74.67,"Cheese, Sauce, Toppings",Non-Veg
40,2024-02-04,14:55:48,PIZ0040,Spicy Italian,Supreme,Medium,4,15.79,63.16,"Cheese, Sauce, Toppings",Non-Veg
41,2024-11-09,23:17:58,PIZ0041,Spicy Italian,Supreme,Medium,2,12.34,24.68,"Cheese, Sauce, Toppings",Vegetarian
42,2024-01-12,13:31:18,PIZ0042,Chicken Supreme,Chicken,Large,3,11.81,35.43,"Cheese, Sauce, Toppings",Non-Veg
