order_id,order_date,customer_id,product_id,product_name,product_category,warehouse_id,warehouse_city,warehouse_zone,order_qty,unit_cost,unit_price,shipping_charges,total_revenue,order_status,fulfillment_days,carrier,return_status,return_reason
1,2024-07-02,CUST0001,PROD0001,Institution,Beauty,WH02,Lake Amanda,East Zone,3,229.77,378.59,133.7,1135.77,Delivered,9,DTDC,Returned,Wrong Size
2,2025-02-22,CUST0002,PROD0002,Thousand,Electronics,WH03,South Leslie,South Zone,13,2230.28,4136.04,50.28,53768.52,Delivered,8,DTDC,Not Returned,
3,2024-10-28,CUST0003,PROD0003,Recently,Home & Kitchen,WH04,Hicksfurt,Central Zone,1,1698.99,2999.32,38.55,2999.32,Processing,12,FedEx,Not Returned,
4,2024-04-11,CUST0004,PROD0004,One,Sports,WH05,Lake Christina,East Zone,6,4675.42,9965.17,186.59,59791.02,Delivered,9,DTDC,Not Returned,
5,2024-01-03,CUST0005,PROD0005,Film,Clothing,WH06,East Kathleen,West Zone,5,4092.14,5775.87,35.17,28879.35,Delivered,7,Ecom Express,Returned,Not Needed
6,2024-02-01,CUST0006,PROD0006,Large,Electronics,WH07,Port Mary,South Zone,12,962.51,1190.42,84.18,14285.04,Delivered,11,Ecom Express,Not Returned,
7,2024-06-26,CUST0007,PROD0007,Usually,Groceries,WH08,Stanleyville,Central Zone,2,119.28,273.84,140.95,547.68,Delivered,7,Delhivery,Not Returned,
8,2025-05-24,CUST0008,PROD0008,Different,Electronics,WH09,Lake Glenn,North Zone,8,1631.59,2979.05,186.95,23832.4,Shipped,7,XpressBees,Not Returned,
9,2024-04-27,CUST0009,PROD0009,Person,Beauty,WH10,Kimtown,North Zone,3,391.16,516.38,191.78,1549.14,Delivered,3,Blue Dart,Not Returned,
10,2025-02-20,CUST0010,PROD0010,Laugh,Toys,WH01,Lake John,East Zone,16,4304.35,6026.81,14.52,96428.96,Shipped,1,XpressBees,Replacement Requested,Exchange Request
11,2024-12-11,CUST0011,PROD0011,Girl,Groceries,WH02,West Danielberg,South Zone,5,4533.4,5650.03,90.38,28250.15,Delivered,7,Ecom Express,Not Returned,
12,2025-05-28,CUST0012,PROD0012,Reach,Books,WH03,North Donnaton,Central Zone,5,3761.43,4561.35,97.01,22806.75,Shipped,3,FedEx,Not Returned,
13,2024-08-17,CUST0013,PROD0013,Field,Groceries,WH04,Lake Jamesfurt,South Zone,8,2927.12,6545.85,196.98,52366.8,Shipped,14,DTDC,Not Returned,
14,2024-11-17,CUST0014,PROD0014,Point,Beauty,WH05,Matthewchester,South Zone,12,450.92,890.79,18.27,10689.48,Delivered,12,DTDC,Not Returned,
15,2024-04-25,CUST0015,PROD0015,Media,Clothing,WH06,Hillberg,North Zone,5,3475.89,5982.36,95.7,29911.8,Delivered,8,Blue Dart,Not Returned,
16,2025-05-06,CUST0016,PROD0016,As,Home & Kitchen,WH07,Paulahaven,West Zone,13,4818.04,8684.72,25.84,112901.36,Processing,3,DTDC,Returned,Delivery Damaged
17,2024-09-26,CUST0017,PROD0017,Know,Sports,WH08,Lake Alice,South Zone,13,2364.85,5438.24,196.27,70697.12,Delivered,5,Ecom Express,Not Returned,
18,2025-03-17,CUST0018,PROD0018,Magazine,Home & Kitchen,WH09,West Mark,West Zone,18,959.94,1488.2,64.81,26787.6,Shipped,3,Delhivery,Returned,Delivery Damaged
19,2025-03-27,CUST0019,PROD0019,Son,Clothing,WH10,North Roberthaven,South Zone,20,1676.39,2444.13,162.59,48882.6,Delivered,4,DTDC,Not Returned,
20,2025-03-19,CUST0020,PROD0020,Gun,Sports,WH01,Nashmouth,Central Zone,10,261.54,523.65,94.9,5236.5,Delivered,8,XpressBees,Not Returned,
21,2024-10-17,CUST0021,PROD0021,Lot,Groceries,WH02,South Robert,Central Zone,18,538.07,1286.53,101.57,23157.54,Delivered,1,DTDC,Not Returned,
22,2024-03-01,CUST0022,PROD0022,Risk,Toys,WH03,Laurenport,Central Zone,3,3510.94,5879.68,49.2,17639.04,Processing,5,DTDC,Not Returned,
23,2024-01-14,CUST0023,PROD0023,Bank,Home & Kitchen,WH04,West Melanie,North Zone,19,1195.24,2533.57,109.03,48137.83,Delivered,12,Ecom Express,Not Returned,
24,2025-04-04,CUST0024,PROD0024,Cause,Beauty,WH05,Penningtonchester,West Zone,8,3970.5,7946.74,82.1,63573.92,Shipped,10,Blue Dart,Not Returned,
25,2024-07-21,CUST0025,PROD0025,Rate,Groceries,WH06,North Victoriashire,West Zone,1,465.79,814.96,196.48,814.96,Delivered,6,XpressBees,Replacement Requested,Exchange Request
26,2024-05-07,CUST0026,PROD0026,Ready,Books,WH07,Matthewborough,Central Zone,19,2638.46,3699.36,74.8,70287.84,Delivered,11,Ecom Express,Not Returned,
27,2024-12-09,CUST0027,PROD0027,Budget,Electronics,WH08,Amberberg,East Zone,10,4449.27,9018.01,188.44,90180.1,Delivered,2,DTDC,Returned,Defective
28,2024-04-19,CUST0028,PROD0028,Brother,Beauty,WH09,Harrisland,East Zone,2,59.56,135.7,104.89,271.4,Shipped,9,Blue Dart,Replacement Requested,Exchange Request
29,2024-03-03,CUST0029,PROD0029,Fall,Sports,WH10,East Christopher,North Zone,11,4205.63,7364.13,143.64,81005.43,Delivered,14,DTDC,Not Returned,
30,2024-08-08,CUST0030,PROD0030,It,Beauty,WH01,New Davidville,Central Zone,2,1684.53,2520.49,100.62,5040.98,Delivered,8,Ecom Express,Not Returned,
31,2024-02-05,CUST0031,PROD0031,Blue,Clothing,WH02,Aimeeborough,North Zone,15,693.12,992.73,23.67,14890.95,Delivered,8,DTDC,Not Returned,
32,2025-01-27,CUST0032,PROD0032,Generation,Groceries,WH03,Davidsonhaven,West Zone,14,1425.62,1919.54,14.62,26873.56,Processing,5,DTDC,Not Returned,
33,2024-08-07,CUST0033,PROD0033,Allow,Groceries,WH04,North Marvinchester,North Zone,11,3067.17,5392.64,45.43,59319.04,Shipped,2,DTDC,Not Returned,
34,2025-06-24,CUST0034,PROD0034,Mr,Electronics,WH05,Jenniferfort,West Zone,7,3301.54,5453.65,83.15,38175.55,Processing,13,XpressBees,Replacement Requested,Exchange Request
35,2024-03-07,CUST0035,PROD0035,Without,Home & Kitchen,WH06,Port Davidview,South Zone,7,3618.4,6942.92,188.34,48600.44,Delivered,7,Blue Dart,Returned,Delivery Damaged
36,2024-07-02,CUST0036,PROD0036,Recently,Beauty,WH07,Mooreport,North Zone,14,3223.41,4633.19,140.89,64864.66,Delivered,8,XpressBees,Not Returned,
37,2024-03-02,CUST0037,PROD0037,Half,Beauty,WH08,South Leahmouth,Central Zone,7,4550.63,11207.65,180.57,78453.55,Delivered,2,Delhivery,Not Returned,
38,2025-01-23,CUST0038,PROD0038,Quickly,Toys,WH09,Lake Lauraborough,Central Zone,13,4698.57,6235.68,127.84,81063.84,Pending,8,Delhivery,Not Returned,
39,2024-06-14,CUST0039,PROD0039,Wide,Groceries,WH10,New Veronicastad,North Zone,6,2359.23,4749.24,16.16,28495.44,Delivered,1,Delhivery,Not Returned,
40,2025-05-12,CUST0040,PROD0040,Anything,Books,WH01,Adamschester,East Zone,4,1016.42,1954.45,38.52,7817.8,Delivered,11,Delhivery,Not Returned,
41,2025-06-28,CUST0041,PROD0041,Office,Clothing,WH02,Bryanside,West Zone,14,391.03,561.74,121.66,7864.36,Delivered,2,Blue Dart,Not Returned,
42,2025-05-14,CUST0042,PROD0042,Development,Groceries,WH03,New Maxbury,Central Zone,11,3937.08,6498.56,60.37,71484.16,Delivered,12,Blue Dart,Not Returned,
43,2024-01-12,CUST0043,PROD0043,Involve,Beauty,WH04,East Dennis,North Zone,12,94.04,152.98,46.44,1835.76,Delivered,9,DTDC,Replacement Requested,Exchange Request
44,2025-04-24,CUST0044,PROD0044,Doctor,Sports,WH05,New Andrea,East Zone,17,1430.97,3517.61,168.51,59799.37,Shipped,2,FedEx,Replacement Requested,Exchange Request
45,2025-05-22,CUST0045,PROD0045,Everyone,Books,WH06,North Davidhaven,East Zone,6,1908.25,3584.52,55.94,21507.12,Cancelled,9,DTDC,Returned,Wrong Size
46,2025-02-20,CUST0046,PROD0046,Smile,Clothing,WH07,Davidhaven,South Zone,12,3560.47,6422.68,171.85,77072.16,Shipped,11,Delhivery,Not Returned,
47,2025-01-02,CUST0047,PROD0047,Conference,Books,WH08,South Rachelbury,East Zone,12,1640.76,2194.86,91.71,26338.32,Shipped,11,Blue Dart,Returned,Delivery Damaged
48,2024-05-08,CUST0048,PROD0048,Along,Sports,WH09,Hernandezbury,Central Zone,4,864.86,1502.6,41.71,6010.4,Delivered,6,FedEx,Not Returned,
49,2024-04-21,CUST0049,PROD0049,Style,Sports,WH10,New Charles,East Zone,8,4705.78,7433.55,142.16,59468.4,Delivered,8,Ecom Express,Not Returned,
50,2024-11-08,CUST0050,PROD0050,Fly,Beauty,WH01,Thompsonfort,East Zone,5,695.38,1135.64,152.9,5678.2,Shipped,6,Ecom Express,Returned,Wrong Size
51,2024-08-25,CUST0051,PROD0051,Piece,Beauty,WH02,Cynthiahaven,South Zone,13,4301.11,7396.32,39.25,96152.16,Processing,8,Blue Dart,Not Returned,
52,2024-02-05,CUST0052,PROD0052,Specific,Toys,WH03,Vazquezfurt,East Zone,4,3709.48,6838.84,73.93,27355.36,Delivered,7,Delhivery,Not Returned,
53,2025-03-21,CUST0053,PROD0053,Manage,Toys,WH04,Garciafort,West Zone,14,526.03,1044.91,11.21,14628.74,Pending,13,Blue Dart,Not Returned,
54,2024-02-20,CUST0054,PROD0054,My,Electronics,WH05,Kirbyhaven,South Zone,3,3655.37,6905.27,62.88,20715.81,Delivered,9,Blue Dart,Not Returned,
55,2024-02-04,CUST0055,PROD0055,Per,Home & Kitchen,WH06,North Christopher,Central Zone,4,2812.89,4840.83,155.53,19363.32,Shipped,14,FedEx,Not Returned,
56,2024-11-15,CUST0056,PROD0056,Buy,Beauty,WH07,Sweeneyhaven,North Zone,20,3766.72,6994.61,74.97,139892.2,Delivered,14,XpressBees,Replacement Requested,Exchange Request
57,2024-03-04,CUST0057,PROD0057,Good,Home & Kitchen,WH08,New Joshua,North Zone,15,4990.1,11200.63,97.69,168009.45,Processing,6,Delhivery,Returned,Quality Issue
58,2024-07-22,CUST0058,PROD0058,Benefit,Electronics,WH09,Lake Jamesview,South Zone,6,3415.15,8484.6,156.07,50907.6,Pending,3,Ecom Express,Not Returned,
59,2024-07-29,CUST0059,PROD0059,Course,Beauty,WH10,East Angela,South Zone,6,1880.71,4421.62,51.34,26529.72,Delivered,2,Delhivery,Not Returned,
60,2024-01-18,CUST0060,PROD0060,Must,Toys,WH01,Candaceborough,South Zone,19,178.86,400.35,160.11,7606.65,Pending,3,Blue Dart,Replacement Requested,Exchange Request
61,2025-05-02,CUST0061,PROD0061,Themselves,Home & Kitchen,WH02,Port Javiermouth,East Zone,13,2423.98,3763.28,90.87,48922.64,Delivered,8,XpressBees,Not Returned,
62,2024-03-02,CUST0062,PROD0062,Way,Electronics,WH03,Randyshire,South Zone,10,3299.81,7318.62,38.12,73186.2,Delivered,6,DTDC,Not Returned,
63,2024-10-29,CUST0063,PROD0063,Resource,Books,WH04,Kelseyfurt,South Zone,20,3447.25,5271.35,117.55,105427.0,Delivered,8,XpressBees,Not Returned,
64,2024-12-30,CUST0064,PROD0064,Data,Toys,WH05,Ramirezton,North Zone,1,3341.41,7413.99,79.24,7413.99,Shipped,14,DTDC,Not Returned,
65,2024-12-07,CUST0065,PROD0065,Mind,Books,WH06,Sonyachester,East Zone,4,4687.58,8999.93,41.02,35999.72,Cancelled,12,DTDC,Not Returned,
66,2025-04-15,CUST0066,PROD0066,On,Home & Kitchen,WH07,New Rileyborough,Central Zone,19,3870.14,8844.4,35.08,168043.6,Processing,3,XpressBees,Not Returned,
67,2024-03-14,CUST0067,PROD0067,But,Beauty,WH08,Lake Ryan,East Zone,20,684.6,1147.41,181.96,22948.2,Shipped,4,XpressBees,Replacement Requested,Exchange Request
68,2024-05-04,CUST0068,PROD0068,Spring,Electronics,WH09,South Jonhaven,West Zone,7,2114.47,2835.77,171.87,19850.39,Delivered,4,Delhivery,Not Returned,
69,2024-12-28,CUST0069,PROD0069,Prepare,Sports,WH10,East Brandon,East Zone,5,2935.66,5719.16,49.72,28595.8,Delivered,5,FedEx,Replacement Requested,Exchange Request
70,2024-01-18,CUST0070,PROD0070,State,Beauty,WH01,East Amanda,West Zone,1,4864.36,8836.34,121.74,8836.34,Delivered,8,Blue Dart,Replacement Requested,Exchange Request
71,2024-07-31,CUST0071,PROD0071,And,Books,WH02,Smithville,Central Zone,9,1753.33,3977.62,16.12,35798.58,Shipped,11,Delhivery,Not Returned,
72,2024-07-11,CUST0072,PROD0072,These,Sports,WH03,West Lauraton,East Zone,3,2002.38,2706.97,187.91,8120.91,Delivered,2,XpressBees,Replacement Requested,Exchange Request
73,2025-06-14,CUST0073,PROD0073,As,Electronics,WH04,Jasonton,West Zone,18,4519.24,6266.13,170.8,112790.34,Delivered,4,Blue Dart,Not Returned,
74,2025-01-29,CUST0074,PROD0074,Simple,Beauty,WH05,North Melissashire,Central Zone,11,473.37,1037.02,81.93,11407.22,Delivered,12,XpressBees,Replacement Requested,Exchange Request
75,2024-07-25,CUST0075,PROD0075,Ask,Toys,WH06,Schmittland,East Zone,18,4473.59,5581.82,196.81,100472.76,Delivered,5,XpressBees,Not Returned,
76,2025-05-26,CUST0076,PROD0076,Almost,Beauty,WH07,Stoneport,West Zone,6,2395.83,3534.27,165.87,21205.62,Pending,12,FedEx,Not Returned,
77,2025-01-06,CUST0077,PROD0077,Fact,Books,WH08,New Brittney,East Zone,7,851.15,2021.37,155.03,14149.59,Delivered,9,DTDC,Not Returned,
78,2024-09-15,CUST0078,PROD0078,Nature,Sports,WH09,Heatherhaven,Central Zone,12,3234.23,5234.12,112.61,62809.44,Shipped,11,XpressBees,Not Returned,
79,2024-05-19,CUST0079,PROD0079,Position,Electronics,WH10,South Catherine,South Zone,17,4441.98,6073.68,28.62,103252.56,Delivered,14,DTDC,Returned,Delivery Damaged
80,2024-06-19,CUST0080,PROD0080,Fly,Electronics,WH01,Port Lindahaven,Central Zone,8,3050.95,4187.2,106.52,33497.6,Delivered,5,XpressBees,Not Returned,
81,2025-04-08,CUST0081,PROD0081,Study,Toys,WH02,South Julie,North Zone,6,4598.43,10637.16,178.04,63822.96,Cancelled,7,Delhivery,Returned,Defective
82,2025-03-25,CUST0082,PROD0082,Form,Clothing,WH03,Danatown,South Zone,1,4790.19,10435.58,173.38,10435.58,Delivered,10,Ecom Express,Returned,Delivery Damaged
83,2024-12-11,CUST0083,PROD0083,Read,Toys,WH04,North Matthewborough,South Zone,2,3735.33,8448.65,93.6,16897.3,Processing,9,XpressBees,Returned,Defective
84,2024-05-10,CUST0084,PROD0084,Do,Sports,WH05,Brownshire,Central Zone,20,4618.12,7313.04,198.41,146260.8,Delivered,14,Ecom Express,Not Returned,
85,2024-01-08,CUST0085,PROD0085,Interview,Clothing,WH06,Port Davidton,West Zone,1,4985.09,6976.29,12.39,6976.29,Delivered,9,Ecom Express,Replacement Requested,Exchange Request
86,2024-12-19,CUST0086,PROD0086,Grow,Books,WH07,North Travis,West Zone,10,704.24,1100.8,94.18,11008.0,Delivered,1,XpressBees,Not Returned,
87,2024-11-09,CUST0087,PROD0087,State,Toys,WH08,Brownchester,West Zone,14,4546.31,10247.23,135.48,143461.22,Delivered,1,DTDC,Not Returned,
88,2024-02-22,CUST0088,PROD0088,Inside,Electronics,WH09,South James,South Zone,3,1214.84,2842.82,56.93,8528.46,Delivered,11,XpressBees,Returned,Quality Issue
89,2024-04-18,CUST0089,PROD0089,Strategy,Beauty,WH10,North Lorishire,South Zone,4,653.09,1454.61,54.52,5818.44,Delivered,13,XpressBees,Returned,Not Needed
90,2024-11-20,CUST0090,PROD0090,Five,Beauty,WH01,Jaredmouth,Central Zone,1,3123.2,5747.34,92.2,5747.34,Delivered,1,DTDC,Not Returned,
91,2024-11-04,CUST0091,PROD0091,Statement,Home & Kitchen,WH02,Nguyenmouth,Central Zone,3,1763.02,3023.1,54.51,9069.3,Delivered,7,DTDC,Not Returned,
92,2024-09-14,CUST0092,PROD0092,Laugh,Beauty,WH03,South Michael,South Zone,13,2392.35,4856.85,112.56,63139.05,Delivered,12,Blue Dart,Not Returned,
93,2024-07-04,CUST0093,PROD0093,Near,Groceries,WH04,Barajasborough,West Zone,13,4929.44,11566.53,40.96,150364.89,Shipped,8,Delhivery,Not Returned,
94,2024-05-16,CUST0094,PROD0094,Generation,Groceries,WH05,Russellside,North Zone,16,3035.77,6657.77,172.16,106524.32,Delivered,1,DTDC,Not Returned,
95,2024-07-26,CUST0095,PROD0095,No,Beauty,WH06,Lake Kendra,East Zone,5,4217.14,8538.24,31.24,42691.2,Shipped,9,XpressBees,Returned,Not Needed
96,2024-03-30,CUST0096,PROD0096,Job,Beauty,WH07,North Billyshire,Central Zone,12,3521.0,4542.7,189.92,54512.4,Delivered,6,DTDC,Replacement Requested,Exchange Request
97,2025-03-04,CUST0097,PROD0097,Civil,Clothing,WH08,North Melissa,North Zone,14,2572.05,4952.8,151.22,69339.2,Delivered,8,Ecom Express,Not Returned,
98,2024-09-01,CUST0098,PROD0098,They,Clothing,WH09,New Ivanshire,South Zone,5,2299.93,3766.9,20.95,18834.5,Delivered,7,Blue Dart,Not Returned,
99,2025-05-21,CUST0099,PROD0099,House,Books,WH10,Warrenland,South Zone,6,1974.16,2396.52,142.68,14379.12,Delivered,6,FedEx,Not Returned,
100,2025-02-01,CUST0100,PROD0100,Large,Books,WH01,Port Charles,North Zone,10,1971.35,4914.61,48.69,49146.1,Cancelled,8,Delhivery,Not Returned,
101,2024-05-20,CUST0101,PROD0101,Especially,Beauty,WH02,Campbellburgh,Central Zone,2,4384.26,9843.54,137.52,19687.08,Pending,14,Delhivery,Not Returned,
102,2024-10-30,CUST0102,PROD0102,Lot,Home & Kitchen,WH03,East Markview,West Zone,18,3674.87,6916.26,196.28,124492.68,Delivered,12,Ecom Express,Not Returned,
103,2024-10-20,CUST0103,PROD0103,Term,Books,WH04,East Madelineburgh,East Zone,14,4213.33,8169.19,163.9,114368.66,Delivered,8,FedEx,Returned,Delivery Damaged
104,2024-06-01,CUST0104,PROD0104,Travel,Electronics,WH05,Tiffanyfurt,North Zone,9,2690.66,4519.97,55.41,40679.73,Delivered,2,XpressBees,Returned,Not Needed
105,2025-05-13,CUST0105,PROD0105,Itself,Beauty,WH06,Diazhaven,South Zone,2,2699.48,6102.49,182.63,12204.98,Delivered,7,DTDC,Not Returned,
106,2025-02-27,CUST0106,PROD0106,Unit,Beauty,WH07,East Jose,South Zone,14,3000.71,6654.95,24.15,93169.3,Delivered,12,XpressBees,Replacement Requested,Exchange Request
107,2024-08-20,CUST0107,PROD0107,Example,Clothing,WH08,Matthewchester,East Zone,20,4232.54,6698.01,158.49,133960.2,Cancelled,11,FedEx,Returned,Delivery Damaged
108,2024-03-04,CUST0108,PROD0108,Relate,Sports,WH09,Torreshaven,North Zone,3,4345.47,6172.62,189.55,18517.86,Delivered,8,DTDC,Not Returned,
109,2024-08-06,CUST0109,PROD0109,Garden,Books,WH10,Port Colleenbury,East Zone,20,2842.12,5329.06,32.97,106581.2,Pending,2,FedEx,Not Returned,
110,2024-08-17,CUST0110,PROD0110,Story,Books,WH01,East Jessicaborough,North Zone,5,4322.85,7750.44,86.87,38752.2,Cancelled,8,DTDC,Not Returned,
111,2025-03-31,CUST0111,PROD0111,Decide,Toys,WH02,Dixonport,South Zone,3,4221.88,6207.02,60.56,18621.06,Delivered,10,FedEx,Replacement Requested,Exchange Request
112,2024-11-24,CUST0112,PROD0112,Something,Sports,WH03,Port Alan,South Zone,2,378.92,626.95,51.72,1253.9,Delivered,7,Blue Dart,Returned,Quality Issue
113,2025-06-03,CUST0113,PROD0113,Much,Clothing,WH04,Morganland,South Zone,15,2856.4,4090.85,18.46,61362.75,Delivered,1,DTDC,Not Returned,
114,2024-03-03,CUST0114,PROD0114,Way,Clothing,WH05,Kaylaview,Central Zone,5,1508.46,2853.11,43.97,14265.55,Shipped,2,Blue Dart,Not Returned,
115,2024-01-16,CUST0115,PROD0115,List,Clothing,WH06,Port Jamesview,South Zone,19,2624.63,3457.16,40.57,65686.04,Delivered,12,XpressBees,Not Returned,
116,2024-11-08,CUST0116,PROD0116,Southern,Books,WH07,Gilbertton,West Zone,8,3176.9,5913.91,101.48,47311.28,Delivered,10,Blue Dart,Returned,Defective
117,2024-01-27,CUST0117,PROD0117,Movie,Books,WH08,North Jacob,West Zone,18,2273.98,4569.96,172.77,82259.28,Shipped,10,Delhivery,Not Returned,
118,2024-06-05,CUST0118,PROD0118,Region,Home & Kitchen,WH09,East Seanside,North Zone,20,4098.21,9198.51,103.25,183970.2,Shipped,6,XpressBees,Replacement Requested,Exchange Request
119,2024-02-08,CUST0119,PROD0119,Out,Groceries,WH10,Hectorland,North Zone,4,2144.18,4796.17,142.31,19184.68,Delivered,11,DTDC,Not Returned,
120,2024-09-27,CUST0120,PROD0120,Simple,Groceries,WH01,Annettemouth,Central Zone,11,894.82,1981.2,126.05,21793.2,Cancelled,14,Blue Dart,Not Returned,
121,2024-11-06,CUST0121,PROD0121,Begin,Home & Kitchen,WH02,North Timothymouth,North Zone,9,3265.52,4250.35,39.25,38253.15,Pending,4,Ecom Express,Not Returned,
122,2024-11-28,CUST0122,PROD0122,Skin,Toys,WH03,Thompsonland,Central Zone,12,2065.39,4667.86,146.61,56014.32,Pending,6,DTDC,Returned,Defective
123,2025-03-02,CUST0123,PROD0123,Party,Books,WH04,Andersonborough,Central Zone,14,4199.42,9152.07,33.04,128128.98,Cancelled,10,XpressBees,Not Returned,
124,2024-03-01,CUST0124,PROD0124,Trial,Sports,WH05,East Michaelchester,East Zone,9,1168.0,2263.8,164.73,20374.2,Delivered,2,Ecom Express,Not Returned,
125,2025-02-07,CUST0125,PROD0125,Personal,Books,WH06,Brownport,East Zone,12,2291.37,5521.69,48.84,66260.28,Delivered,13,FedEx,Replacement Requested,Exchange Request
