track_id,track_name,artist_name,artist_popularity,album_name,genre,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,track_number,release_date
1,Track 1,Taylor Swift,95,Album 9,Folk,96,0.552,0.574,6,-5.1,Major,0.547,0.616,0.403,0.448,0.531,170.12,313637,12,2020-12-09
2,Track 2,Ed Sheeran,88,Album 8,R&B,64,0.845,0.445,5,-14.3,Major,0.173,0.414,0.116,0.083,0.351,115.2,161410,2,2019-07-25
3,Track 3,Post Malone,79,Album 1,Reggae,76,0.706,0.783,4,-18.3,Major,0.086,0.657,0.217,0.141,0.609,152.55,130719,18,2020-09-30
4,Track 4,Billie Eilish,87,Album 8,Metal,100,0.793,0.49,1,-7.9,Minor,0.228,0.101,0.481,0.184,0.589,126.04,173444,16,2024-03-12
5,Track 5,Post Malone,79,Album 9,R&B,96,0.726,0.105,9,-10.7,Major,0.401,0.17,0.462,0.431,0.509,95.96,168259,1,2016-08-15
6,Track 6,Beyonce,77,Album 1,Metal,70,0.738,0.157,0,-8.4,Minor,0.11,0.493,0.199,0.118,0.696,108.99,280310,5,2015-05-09
7,Track 7,Eminem,78,Album 9,R&B,53,0.45,0.772,4,-12.7,Major,0.538,0.453,0.148,0.162,0.325,122.59,226028,8,2016-02-21
8,Track 8,Dua Lipa,85,Album 4,Hip-Hop,91,0.561,0.324,3,-3.1,Minor,0.099,0.04,0.787,0.098,0.106,178.28,192892,13,2022-04-05
9,Track 9,Adele,74,Album 4,Country,87,0.57,0.343,10,-6.4,Minor,0.19,0.426,0.32,0.313,0.57,128.41,166142,15,2015-11-21
10,Track 10,Taylor Swift,95,Album 8,R&B,90,0.581,0.164,4,-15.4,Minor,0.513,0.435,0.613,0.297,0.594,63.67,316391,13,2018-02-10
11,Track 11,Harry Styles,82,Album 9,Classical,80,0.713,0.778,6,-5.0,Major,0.588,0.733,0.413,0.036,0.388,187.87,340061,1,2017-06-23
12,Track 12,Kendrick Lamar,83,Album 2,Metal,99,0.756,0.907,11,-18.3,Minor,0.277,0.657,0.315,0.265,0.633,72.37,246153,20,2018-06-17
13,Track 13,Kendrick Lamar,83,Album 9,K-Pop,90,0.45,0.293,10,-14.5,Minor,0.433,0.127,0.352,0.494,0.153,160.16,171661,13,2022-07-10
14,Track 14,Bad Bunny,90,Album 10,Latin,74,0.888,0.638,6,-5.9,Major,0.173,0.641,0.014,0.075,0.661,127.39,211863,14,2024-11-22
15,Track 15,Travis Scott,84,Album 4,Electronic,81,0.856,0.215,6,-13.2,Minor,0.371,0.705,0.248,0.287,0.158,161.05,283793,11,2024-03-24
16,Track 16,Post Malone,79,Album 4,Reggae,79,0.806,0.434,4,-14.3,Major,0.492,0.128,0.198,0.053,0.585,111.04,218349,13,2015-04-18
17,Track 17,Bruno Mars,76,Album 7,Pop,68,0.759,0.935,11,-15.2,Minor,0.177,0.134,0.757,0.328,0.22,161.9,307282,20,2015-02-11
18,Track 18,Billie Eilish,87,Album 8,Hip-Hop,61,0.434,0.613,5,-8.4,Minor,0.181,0.22,0.717,0.351,0.75,61.07,155879,13,2016-07-10
19,Track 19,Taylor Swift,95,Album 5,Country,69,0.915,0.682,9,-19.0,Major,0.237,0.825,0.303,0.239,0.651,145.48,318376,9,2017-06-05
20,Track 20,Bad Bunny,90,Album 9,Classical,94,0.703,0.501,4,-5.3,Minor,0.234,0.093,0.057,0.492,0.541,120.97,318557,18,2016-04-18
21,Track 21,Rihanna,75,Album 9,Blues,53,0.632,0.697,8,-8.5,Minor,0.088,0.414,0.255,0.439,0.333,74.68,147810,7,2023-03-20
22,Track 22,Travis Scott,84,Album 2,Metal,82,0.747,0.337,6,-13.9,Minor,0.049,0.947,0.511,0.383,0.538,79.54,291200,2,2021-12-14
23,Track 23,Dua Lipa,85,Album 6,Jazz,63,0.856,0.338,8,-18.7,Minor,0.312,0.613,0.66,0.065,0.65,74.53,282279,15,2019-10-07
24,Track 24,Olivia Rodrigo,81,Album 1,Classical,74,0.872,0.777,8,-14.6,Major,0.584,0.422,0.605,0.5,0.875,66.75,171118,7,2023-04-11
25,Track 25,Dua Lipa,85,Album 4,Metal,68,0.946,0.142,6,-3.5,Minor,0.421,0.843,0.516,0.399,0.642,178.46,182502,5,2023-02-13
26,Track 26,Post Malone,79,Album 7,Rock,66,0.571,0.202,1,-17.3,Minor,0.32,0.234,0.338,0.199,0.166,189.68,140604,7,2017-11-01
27,Track 27,Ariana Grande,86,Album 3,Jazz,100,0.204,0.711,5,-16.7,Major,0.595,0.216,0.714,0.47,0.444,77.67,224495,2,2022-07-12
28,Track 28,Billie Eilish,87,Album 10,Classical,69,0.903,0.476,5,-4.3,Minor,0.558,0.378,0.578,0.43,0.752,163.24,149411,2,2015-03-16
29,Track 29,Bruno Mars,76,Album 8,Latin,93,0.691,0.605,3,-6.9,Major,0.154,0.366,0.116,0.266,0.465,161.82,334728,3,2021-01-13
30,Track 30,Olivia Rodrigo,81,Album 4,Folk,69,0.751,0.187,10,-11.1,Minor,0.15,0.304,0.214,0.363,0.532,136.84,184726,11,2020-10-01
31,Track 31,Travis Scott,84,Album 4,Metal,69,0.222,0.348,3,-19.0,Major,0.458,0.452,0.355,0.12,0.499,175.92,273590,12,2015-09-10
32,Track 32,BTS,89,Album 2,Rock,61,0.761,0.527,4,-8.9,Minor,0.513,0.557,0.307,0.459,0.123,87.69,324478,17,2021-05-01
33,Track 33,Adele,74,Album 8,Reggae,47,0.52,0.306,4,-18.2,Minor,0.172,0.923,0.646,0.13,0.471,117.07,311266,16,2016-06-18
34,Track 34,Kendrick Lamar,83,Album 2,Hip-Hop,73,0.698,0.792,6,-13.6,Major,0.121,0.16,0.588,0.101,0.786,156.91,218663,17,2016-01-27
35,Track 35,Post Malone,79,Album 1,K-Pop,83,0.742,0.262,7,-9.5,Major,0.31,0.036,0.505,0.04,0.41,159.04,206933,7,2019-04-23
36,Track 36,Doja Cat,80,Album 2,Electronic,94,0.445,0.917,6,-16.3,Major,0.067,0.708,0.344,0.046,0.805,156.07,299010,16,2024-04-04
37,Track 37,Eminem,78,Album 2,Electronic,67,0.704,0.81,2,-6.9,Major,0.478,0.369,0.233,0.083,0.887,128.33,171973,8,2020-08-07
38,Track 38,Beyonce,77,Album 7,K-Pop,65,0.802,0.357,5,-14.0,Major,0.09,0.102,0.59,0.438,0.26,199.51,120301,18,2019-04-03
39,Track 39,Billie Eilish,87,Album 4,Indie,60,0.46,0.431,4,-11.5,Major,0.578,0.095,0.054,0.105,0.478,170.21,295986,2,2021-06-26
40,Track 40,Drake,92,Album 2,Hip-Hop,69,0.908,0.903,6,-14.6,Minor,0.095,0.43,0.26,0.27,0.729,104.09,172000,2,2024-06-11
41,Track 41,Dua Lipa,85,Album 3,Pop,100,0.438,0.432,4,-12.4,Major,0.071,0.364,0.686,0.488,0.459,95.66,297050,5,2020-11-05
42,Track 42,BTS,89,Album 4,Latin,78,0.274,0.802,3,-10.0,Major,0.173,0.31,0.547,0.45,0.788,70.84,292879,17,2024-10-21
43,Track 43,Post Malone,79,Album 9,Rock,69,0.779,0.697,7,-19.9,Major,0.278,0.428,0.524,0.111,0.425,83.25,269414,15,2017-05-15
44,Track 44,Doja Cat,80,Album 2,Reggae,90,0.245,0.555,8,-12.6,Major,0.276,0.82,0.286,0.344,0.761,179.11,177226,15,2023-07-11
45,Track 45,Olivia Rodrigo,81,Album 1,R&B,74,0.675,0.164,11,-10.6,Minor,0.338,0.632,0.739,0.163,0.825,173.33,200218,7,2021-05-12
46,Track 46,Rihanna,75,Album 6,Blues,50,0.844,0.591,7,-9.6,Major,0.05,0.655,0.232,0.125,0.732,134.3,221842,18,2021-07-14
47,Track 47,Post Malone,79,Album 8,Folk,62,0.934,0.167,11,-12.5,Major,0.52,0.505,0.011,0.15,0.624,192.9,302418,10,2018-05-04
48,Track 48,Post Malone,79,Album 9,Indie,66,0.765,0.49,10,-13.4,Major,0.245,0.413,0.288,0.187,0.406,175.64,167398,14,2017-04-18
49,Track 49,The Weeknd,91,Album 6,Hip-Hop,98,0.853,0.923,0,-3.7,Minor,0.095,0.181,0.365,0.328,0.34,157.34,340973,12,2021-09-22
50,Track 50,Taylor Swift,95,Album 10,Metal,95,0.687,0.226,9,-18.7,Major,0.404,0.386,0.525,0.105,0.696,74.06,251031,2,2020-04-14
51,Track 51,Harry Styles,82,Album 8,Indie,57,0.463,0.27,3,-14.0,Major,0.167,0.64,0.216,0.239,0.166,78.54,286863,10,2016-02-23
52,Track 52,Ed Sheeran,88,Album 4,R&B,73,0.862,0.851,9,-9.0,Major,0.251,0.916,0.07,0.089,0.113,76.57,297324,7,2020-07-31
53,Track 53,Dua Lipa,85,Album 7,Classical,57,0.332,0.215,0,-11.1,Minor,0.496,0.919,0.053,0.241,0.425,106.79,208100,15,2019-08-23
54,Track 54,Ed Sheeran,88,Album 7,Blues,64,0.739,0.485,5,-15.4,Minor,0.289,0.576,0.493,0.263,0.488,181.17,312992,4,2024-09-24
55,Track 55,The Weeknd,91,Album 9,Folk,100,0.711,0.242,3,-12.3,Minor,0.545,0.298,0.391,0.414,0.755,195.38,179595,14,2019-03-23
56,Track 56,Travis Scott,84,Album 9,Classical,69,0.486,0.362,9,-15.1,Minor,0.32,0.946,0.38,0.416,0.588,107.87,269552,13,2024-12-30
57,Track 57,Taylor Swift,95,Album 10,R&B,93,0.669,0.238,8,-13.7,Major,0.584,0.225,0.071,0.045,0.778,194.73,263195,2,2022-10-27
58,Track 58,BTS,89,Album 2,Indie,81,0.37,0.714,9,-9.2,Minor,0.057,0.16,0.537,0.297,0.715,122.69,337165,5,2019-11-24
59,Track 59,Taylor Swift,95,Album 10,Classical,79,0.488,0.588,6,-7.7,Minor,0.198,0.001,0.486,0.429,0.637,119.14,284631,15,2018-02-06
60,Track 60,BTS,89,Album 8,Jazz,63,0.686,0.16,5,-18.5,Major,0.064,0.803,0.565,0.071,0.708,90.25,345300,7,2017-07-21
61,Track 61,BTS,89,Album 2,Jazz,85,0.583,0.868,6,-13.6,Minor,0.52,0.013,0.357,0.104,0.522,188.84,235161,5,2017-12-14
62,Track 62,Harry Styles,82,Album 9,Metal,94,0.93,0.71,6,-11.2,Major,0.539,0.844,0.038,0.468,0.531,87.83,206613,18,2015-09-20
63,Track 63,Dua Lipa,85,Album 7,Metal,75,0.429,0.139,0,-13.1,Minor,0.552,0.52,0.155,0.063,0.808,99.51,236539,10,2017-08-16
64,Track 64,Dua Lipa,85,Album 7,Latin,81,0.634,0.532,6,-10.7,Minor,0.358,0.125,0.541,0.397,0.494,103.63,198325,6,2020-05-01
65,Track 65,Travis Scott,84,Album 9,R&B,73,0.852,0.698,2,-18.2,Minor,0.361,0.086,0.096,0.472,0.497,114.22,330257,14,2016-11-24
66,Track 66,Doja Cat,80,Album 10,R&B,99,0.525,0.783,1,-12.1,Minor,0.153,0.518,0.322,0.132,0.328,82.96,264007,2,2022-12-22
67,Track 67,Billie Eilish,87,Album 2,Latin,87,0.259,0.795,10,-6.3,Minor,0.571,0.807,0.393,0.225,0.606,116.89,218954,13,2017-11-24
68,Track 68,Drake,92,Album 7,Jazz,67,0.266,0.659,4,-6.1,Minor,0.377,0.623,0.511,0.448,0.29,74.29,129432,4,2024-12-26
69,Track 69,Beyonce,77,Album 7,Latin,85,0.73,0.866,4,-8.5,Major,0.221,0.671,0.107,0.452,0.809,166.45,300209,5,2023-05-05
70,Track 70,Ariana Grande,86,Album 8,Jazz,65,0.391,0.854,7,-9.6,Minor,0.425,0.711,0.412,0.442,0.43,154.77,186598,18,2020-03-01
71,Track 71,Bruno Mars,76,Album 8,Country,66,0.753,0.544,9,-16.5,Major,0.088,0.715,0.758,0.284,0.496,105.28,130903,16,2023-06-06
72,Track 72,Ed Sheeran,88,Album 4,Reggae,92,0.438,0.561,9,-15.7,Minor,0.394,0.459,0.472,0.287,0.367,152.9,252162,7,2018-10-13
73,Track 73,Bruno Mars,76,Album 9,Jazz,74,0.443,0.51,4,-13.4,Minor,0.24,0.508,0.388,0.484,0.691,154.0,206417,8,2020-01-31
74,Track 74,Harry Styles,82,Album 6,Reggae,59,0.517,0.961,9,-17.3,Minor,0.026,0.393,0.773,0.284,0.272,100.87,199663,5,2023-12-03
75,Track 75,Olivia Rodrigo,81,Album 9,Country,76,0.901,0.819,6,-19.0,Minor,0.11,0.096,0.054,0.263,0.796,101.34,342135,12,2024-04-19
76,Track 76,Drake,92,Album 3,Latin,73,0.826,0.25,6,-11.2,Major,0.366,0.809,0.144,0.33,0.226,64.4,209621,4,2016-07-19
77,Track 77,Ariana Grande,86,Album 9,Hip-Hop,67,0.302,0.826,0,-16.7,Minor,0.413,0.437,0.157,0.31,0.614,67.93,188832,5,2018-08-18
78,Track 78,The Weeknd,91,Album 4,Blues,83,0.218,0.235,3,-12.5,Minor,0.192,0.473,0.168,0.466,0.851,139.53,177678,9,2020-10-29
79,Track 79,Olivia Rodrigo,81,Album 7,Classical,74,0.362,0.758,9,-13.5,Major,0.597,0.72,0.557,0.231,0.392,79.75,270244,3,2022-11-15
80,Track 80,Eminem,78,Album 3,Electronic,60,0.473,0.616,4,-10.5,Minor,0.489,0.511,0.063,0.458,0.133,100.35,294654,14,2015-06-14
81,Track 81,Eminem,78,Album 5,Folk,98,0.34,0.276,10,-9.5,Minor,0.21,0.916,0.476,0.194,0.81,84.87,267107,6,2017-02-03
82,Track 82,Kendrick Lamar,83,Album 3,Rock,69,0.487,0.631,10,-3.5,Major,0.1,0.061,0.594,0.478,0.757,91.75,277024,1,2021-09-24
83,Track 83,BTS,89,Album 4,Jazz,91,0.46,0.348,9,-13.4,Minor,0.571,0.284,0.754,0.023,0.151,174.25,333088,3,2015-04-04
84,Track 84,Bad Bunny,90,Album 9,R&B,100,0.949,0.453,11,-10.5,Minor,0.322,0.124,0.299,0.459,0.284,76.19,284045,19,2018-05-02
85,Track 85,Adele,74,Album 9,Country,44,0.463,0.304,9,-11.4,Major,0.526,0.42,0.176,0.419,0.607,60.29,336983,1,2016-05-30
86,Track 86,Bruno Mars,76,Album 1,Jazz,89,0.523,0.528,2,-4.5,Minor,0.211,0.886,0.787,0.257,0.767,120.52,203296,16,2017-01-16
87,Track 87,Ariana Grande,86,Album 4,Classical,100,0.514,0.299,0,-7.7,Major,0.122,0.099,0.245,0.041,0.308,185.49,334142,14,2016-07-24
88,Track 88,Eminem,78,Album 6,Rock,49,0.915,0.532,4,-5.6,Major,0.327,0.316,0.183,0.215,0.789,64.52,350600,10,2015-07-25
89,Track 89,Rihanna,75,Album 10,K-Pop,61,0.589,0.258,9,-10.9,Major,0.208,0.715,0.599,0.367,0.543,196.96,301437,20,2023-04-10
90,Track 90,Ariana Grande,86,Album 8,Country,100,0.296,0.153,3,-13.5,Major,0.108,0.604,0.193,0.264,0.305,128.71,154727,1,2021-04-10
91,Track 91,Rihanna,75,Album 7,K-Pop,87,0.908,0.542,2,-14.1,Minor,0.523,0.721,0.268,0.405,0.758,181.99,193340,18,2017-07-16
92,Track 92,Post Malone,79,Album 1,Folk,51,0.407,0.686,6,-9.1,Minor,0.074,0.55,0.269,0.109,0.334,149.74,328849,16,2024-07-07
93,Track 93,Bruno Mars,76,Album 3,Blues,70,0.698,0.478,6,-15.2,Major,0.41,0.008,0.341,0.335,0.468,198.78,141823,8,2024-12-26
94,Track 94,Olivia Rodrigo,81,Album 6,Hip-Hop,54,0.389,0.443,0,-12.5,Minor,0.305,0.275,0.724,0.099,0.48,194.17,306707,2,2017-08-10
95,Track 95,Eminem,78,Album 6,Rock,64,0.423,0.512,1,-11.8,Major,0.158,0.223,0.203,0.069,0.286,158.08,345715,14,2016-04-02
96,Track 96,Bruno Mars,76,Album 3,Rock,95,0.82,0.974,11,-8.4,Major,0.427,0.602,0.522,0.241,0.161,168.71,359355,3,2015-02-13
97,Track 97,Beyonce,77,Album 10,Jazz,94,0.348,0.216,4,-6.9,Minor,0.062,0.217,0.247,0.435,0.186,143.4,334328,20,2017-10-23
98,Track 98,Bruno Mars,76,Album 6,Rock,84,0.655,0.831,6,-11.8,Minor,0.509,0.624,0.037,0.159,0.631,78.86,223056,6,2023-10-10
99,Track 99,Adele,74,Album 3,Classical,49,0.4,0.242,7,-3.2,Minor,0.084,0.182,0.176,0.326,0.69,105.29,351869,13,2023-04-30
100,Track 100,BTS,89,Album 9,Reggae,87,0.885,0.48,0,-13.7,Minor,0.037,0.017,0.735,0.254,0.695,74.16,277979,6,2024-07-22
101,Track 101,Billie Eilish,87,Album 7,Blues,76,0.212,0.945,4,-9.2,Minor,0.043,0.565,0.651,0.246,0.387,65.0,313814,7,2024-04-13
102,Track 102,Taylor Swift,95,Album 5,Country,81,0.608,0.563,7,-10.7,Major,0.413,0.231,0.223,0.053,0.446,67.98,337165,7,2015-07-15
103,Track 103,Eminem,78,Album 4,Metal,95,0.892,0.384,0,-9.8,Major,0.456,0.857,0.062,0.433,0.17,109.95,188934,12,2023-11-23
104,Track 104,Billie Eilish,87,Album 5,Hip-Hop,85,0.409,0.576,0,-17.1,Major,0.219,0.121,0.485,0.083,0.305,96.79,295316,19,2024-09-30
105,Track 105,Doja Cat,80,Album 5,Indie,91,0.78,0.202,2,-12.7,Major,0.466,0.422,0.727,0.462,0.444,187.05,248796,9,2021-04-08
106,Track 106,Billie Eilish,87,Album 7,Blues,90,0.663,0.245,9,-18.2,Major,0.357,0.571,0.01,0.284,0.406,157.13,208459,14,2024-09-24
107,Track 107,Adele,74,Album 5,Rock,65,0.547,0.568,8,-9.1,Major,0.376,0.23,0.255,0.295,0.376,189.99,187733,17,2016-04-28
108,Track 108,Harry Styles,82,Album 7,Blues,93,0.662,0.293,6,-18.5,Major,0.04,0.002,0.64,0.102,0.121,144.05,134719,4,2018-01-05
109,Track 109,Doja Cat,80,Album 3,Blues,100,0.473,0.939,9,-12.7,Major,0.26,0.141,0.452,0.269,0.445,157.9,296155,10,2015-09-05
110,Track 110,Drake,92,Album 8,Reggae,100,0.934,0.623,6,-5.3,Major,0.562,0.793,0.12,0.206,0.786,158.99,138598,1,2023-04-01
