session_id,date,customer_id,utm_source,utm_medium,landing_page,product_viewed,added_to_cart,reached_checkout,purchase_completed,revenue,device_type,browser,country,city,new_vs_returning,session_duration_sec,pages_visited,abandonment_reason
1,2024-10-13,CUST0001,Email,cpc,/,No,No,No,No,0,Mobile,Edge,US,Port Alexis,Returning,22,1,Bounced
2,2025-06-16,CUST0002,Facebook Ads,cpc,/about,Yes,Yes,Yes,Yes,476.85,Mobile,Edge,CA,Mcdonaldchester,Returning,510,5,
3,2025-06-09,CUST0003,Instagram,referral,/collections,Yes,Yes,No,No,0,Desktop,Firefox,AU,North John,Returning,139,4,Checkout Abandoned
4,2025-01-10,CUST0004,Organic Search,email,/sale,Yes,Yes,No,No,0,Tablet,Safari,BR,Lake Ericaborough,New Visitor,31,7,Checkout Abandoned
5,2024-12-19,CUST0005,Twitter,email,/sale,Yes,Yes,No,No,0,Tablet,Opera,UK,Salazarstad,Returning,76,2,Checkout Abandoned
6,2025-04-25,CUST0006,Twitter,organic,/collections,Yes,Yes,No,No,0,Desktop,Edge,MX,East Thomas,Returning,86,7,Checkout Abandoned
7,2024-11-27,CUST0007,Pinterest,cpc,/about,Yes,Yes,No,No,0,Tablet,Firefox,US,Martinezport,New Visitor,144,4,Checkout Abandoned
8,2024-12-11,CUST0008,Facebook Ads,email,/,Yes,Yes,Yes,No,0,Tablet,Safari,AU,Lake Elizabethbury,New Visitor,180,4,No Reason
9,2025-01-11,CUST0009,Facebook Ads,referral,/collections,Yes,Yes,Yes,Yes,417.71,Tablet,Edge,IN,Carpenterport,Returning,82,8,
10,2024-09-05,CUST0010,TikTok,cpc,/collections,Yes,Yes,Yes,No,0,Tablet,Firefox,UK,Tamaraburgh,New Visitor,203,10,Price Comparison
11,2025-06-12,CUST0011,Email,organic,/about,Yes,Yes,No,No,0,Tablet,Firefox,AU,New Joelstad,Returning,106,10,Checkout Abandoned
12,2025-04-27,CUST0012,Referral,organic,/collections,No,No,No,No,0,Tablet,Firefox,BR,New Alexandermouth,Returning,19,2,Bounced
13,2024-08-29,CUST0013,Google Ads,cpc,/sale,Yes,Yes,Yes,Yes,359.36,Desktop,Edge,BR,Longmouth,New Visitor,165,9,
14,2024-12-04,CUST0014,Twitter,cpc,/products,No,No,No,No,0,Desktop,Chrome,US,North Michael,Returning,12,1,Bounced
15,2025-01-08,CUST0015,Instagram,cpc,/,Yes,No,No,No,0,Desktop,Safari,IN,New Danfort,Returning,490,15,Cart Not Initiated
16,2025-03-18,CUST0016,Direct,organic,/,Yes,Yes,Yes,Yes,491.14,Tablet,Edge,JP,Davidfort,New Visitor,381,8,
17,2024-11-28,CUST0017,Facebook Ads,email,/products,No,No,No,No,0,Tablet,Opera,IN,North Jordan,New Visitor,11,2,Bounced
18,2024-11-10,CUST0018,Pinterest,cpc,/,Yes,No,No,No,0,Tablet,Edge,BR,Robertsonmouth,Returning,41,7,Cart Not Initiated
19,2025-04-22,CUST0019,Google Ads,cpc,/,No,No,No,No,0,Tablet,Firefox,CA,East Dylanfort,Returning,29,2,Bounced
20,2025-04-06,CUST0020,Direct,cpc,/sale,Yes,Yes,No,No,0,Mobile,Firefox,CA,Lisaland,Returning,207,3,Checkout Abandoned
21,2025-03-18,CUST0021,TikTok,referral,/about,Yes,Yes,No,No,0,Tablet,Safari,MX,Emilystad,Returning,376,2,Checkout Abandoned
22,2024-06-17,CUST0022,TikTok,cpc,/about,No,No,No,No,0,Tablet,Chrome,MX,South Patricia,New Visitor,10,1,Bounced
23,2024-11-10,CUST0023,Instagram,organic,/products,Yes,No,No,No,0,Mobile,Firefox,DE,South Elizabeth,Returning,514,8,Cart Not Initiated
24,2024-07-08,CUST0024,Google Ads,email,/about,Yes,Yes,No,No,0,Desktop,Safari,JP,Josephburgh,New Visitor,147,3,Checkout Abandoned
25,2024-07-22,CUST0025,Pinterest,referral,/,Yes,Yes,Yes,No,0,Desktop,Safari,DE,Port Anthonyborough,New Visitor,479,14,Payment Failed
26,2025-06-04,CUST0026,Organic Search,organic,/about,Yes,Yes,No,No,0,Mobile,Chrome,CA,Brownberg,New Visitor,424,5,Checkout Abandoned
27,2024-06-22,CUST0027,Referral,email,/sale,Yes,Yes,Yes,Yes,136.43,Tablet,Safari,IN,East Christopher,New Visitor,253,7,
28,2024-12-05,CUST0028,TikTok,cpc,/products,Yes,Yes,Yes,Yes,76.38,Tablet,Opera,US,Port Dean,Returning,143,3,
29,2025-01-02,CUST0029,Facebook Ads,organic,/about,Yes,Yes,No,No,0,Mobile,Opera,AU,East Brent,Returning,577,5,Checkout Abandoned
30,2025-05-18,CUST0030,Instagram,social,/,Yes,No,No,No,0,Mobile,Safari,AU,Williamhaven,Returning,25,7,Cart Not Initiated
31,2025-01-24,CUST0031,Referral,social,/collections,Yes,No,No,No,0,Desktop,Edge,AU,West Patricia,Returning,179,13,Cart Not Initiated
32,2025-06-29,CUST0032,Instagram,email,/products,No,No,No,No,0,Tablet,Firefox,JP,Williamsport,New Visitor,19,3,Bounced
33,2024-10-21,CUST0033,Pinterest,cpc,/products,No,No,No,No,0,Tablet,Safari,FR,Markborough,Returning,21,3,Bounced
34,2025-05-22,CUST0034,Referral,email,/,Yes,Yes,No,No,0,Desktop,Chrome,BR,New Carrie,Returning,161,2,Checkout Abandoned
35,2025-06-22,CUST0035,Instagram,referral,/sale,Yes,Yes,No,No,0,Desktop,Chrome,MX,North Melissa,Returning,391,11,Checkout Abandoned
36,2025-03-11,CUST0036,TikTok,cpc,/,Yes,Yes,Yes,Yes,239.22,Mobile,Safari,JP,Lake Stephanieburgh,Returning,220,3,
37,2024-07-16,CUST0037,Referral,cpc,/products,No,No,No,No,0,Tablet,Safari,IN,Griffinland,Returning,6,3,Bounced
38,2025-04-10,CUST0038,Referral,social,/products,Yes,No,No,No,0,Tablet,Edge,CA,South Sarahberg,New Visitor,413,5,Cart Not Initiated
39,2024-08-28,CUST0039,Google Ads,cpc,/products,Yes,Yes,Yes,No,0,Mobile,Safari,AU,Rachelville,Returning,581,11,Payment Failed
40,2025-01-19,CUST0040,Organic Search,referral,/sale,Yes,Yes,No,No,0,Tablet,Chrome,IN,Warrenhaven,Returning,285,5,Checkout Abandoned
41,2024-11-20,CUST0041,Email,email,/,Yes,Yes,No,No,0,Desktop,Opera,IN,Kaylabury,Returning,239,15,Checkout Abandoned
42,2025-02-02,CUST0042,TikTok,social,/collections,Yes,Yes,Yes,Yes,137.29,Tablet,Chrome,CA,West Davidberg,Returning,87,10,
43,2024-09-05,CUST0043,Referral,social,/sale,Yes,Yes,No,No,0,Mobile,Opera,IN,Butlerview,Returning,398,11,Checkout Abandoned
44,2024-08-29,CUST0044,Referral,cpc,/,Yes,Yes,Yes,Yes,336.49,Mobile,Opera,IN,East Curtis,Returning,427,14,
45,2024-06-28,CUST0045,Referral,social,/about,No,No,No,No,0,Mobile,Firefox,BR,East Michaelburgh,Returning,6,2,Bounced
46,2024-11-03,CUST0046,Direct,social,/sale,No,No,No,No,0,Desktop,Chrome,BR,West Triciaburgh,Returning,27,2,Bounced
47,2024-12-28,CUST0047,Referral,organic,/sale,Yes,Yes,No,No,0,Tablet,Safari,MX,Port Justin,Returning,187,13,Checkout Abandoned
48,2024-09-07,CUST0048,Email,organic,/collections,Yes,No,No,No,0,Desktop,Firefox,IN,South Andrewshire,Returning,186,14,Cart Not Initiated
49,2024-11-18,CUST0049,Twitter,email,/,Yes,No,No,No,0,Desktop,Opera,BR,Port Kimtown,Returning,416,5,Cart Not Initiated
50,2024-12-28,CUST0050,Twitter,referral,/collections,Yes,Yes,Yes,No,0,Mobile,Safari,UK,North Jasonborough,New Visitor,279,9,Account Required
51,2024-08-10,CUST0051,Google Ads,email,/collections,Yes,Yes,Yes,No,0,Tablet,Opera,FR,Jacksonhaven,New Visitor,360,15,Price Comparison
52,2024-10-29,CUST0052,Facebook Ads,email,/about,Yes,Yes,Yes,Yes,369.24,Mobile,Edge,BR,East Erin,Returning,23,10,
53,2025-01-14,CUST0053,Email,social,/about,Yes,Yes,Yes,No,0,Tablet,Opera,BR,Pamelahaven,Returning,281,14,No Reason
54,2024-11-02,CUST0054,Instagram,referral,/products,Yes,Yes,Yes,No,0,Tablet,Chrome,JP,Medinafurt,Returning,117,12,Payment Failed
55,2025-03-18,CUST0055,Twitter,email,/about,Yes,Yes,Yes,Yes,35.53,Mobile,Chrome,FR,West Gailchester,Returning,131,11,
56,2024-10-16,CUST0056,Google Ads,referral,/products,Yes,Yes,Yes,Yes,312.41,Tablet,Edge,FR,East Lorihaven,New Visitor,173,11,
57,2025-01-05,CUST0057,Google Ads,referral,/sale,Yes,Yes,No,No,0,Mobile,Chrome,FR,New Matthew,Returning,142,10,Checkout Abandoned
58,2024-08-17,CUST0058,Pinterest,email,/about,Yes,Yes,No,No,0,Desktop,Chrome,DE,New Erica,Returning,333,2,Checkout Abandoned
59,2024-07-24,CUST0059,Pinterest,cpc,/collections,Yes,Yes,Yes,No,0,Mobile,Edge,FR,Edwardfurt,Returning,295,9,Slow Loading
60,2024-06-29,CUST0060,Referral,organic,/products,Yes,Yes,No,No,0,Tablet,Edge,CA,Micheleside,Returning,353,7,Checkout Abandoned
61,2024-07-19,CUST0061,Twitter,referral,/products,Yes,Yes,No,No,0,Desktop,Firefox,BR,Yatesport,Returning,172,14,Checkout Abandoned
62,2025-06-02,CUST0062,Direct,referral,/,Yes,Yes,Yes,Yes,17.21,Mobile,Safari,CA,South Joelfurt,Returning,299,2,
63,2025-01-07,CUST0063,Pinterest,referral,/products,Yes,No,No,No,0,Tablet,Safari,MX,South Meganton,Returning,140,13,Cart Not Initiated
64,2024-08-08,CUST0064,Direct,email,/collections,Yes,Yes,Yes,No,0,Mobile,Firefox,JP,Bryantview,Returning,132,15,Price Comparison
65,2024-08-29,CUST0065,Pinterest,cpc,/products,Yes,No,No,No,0,Tablet,Opera,CA,Mitchellstad,Returning,450,5,Cart Not Initiated
66,2024-07-08,CUST0066,Pinterest,social,/sale,Yes,Yes,Yes,No,0,Mobile,Edge,AU,Wilkinsonbury,New Visitor,417,3,High Shipping Cost
67,2025-06-04,CUST0067,Referral,cpc,/collections,Yes,No,No,No,0,Mobile,Edge,CA,New Amy,Returning,164,15,Cart Not Initiated
68,2024-06-26,CUST0068,Instagram,cpc,/products,Yes,No,No,No,0,Tablet,Safari,AU,Lake Ronald,Returning,233,11,Cart Not Initiated
69,2025-04-12,CUST0069,Referral,social,/products,Yes,Yes,Yes,Yes,350.75,Mobile,Chrome,BR,Stephenland,New Visitor,280,11,
70,2024-08-27,CUST0070,Instagram,organic,/about,No,No,No,No,0,Desktop,Safari,IN,Garciamouth,Returning,9,1,Bounced
71,2025-04-30,CUST0071,TikTok,email,/collections,Yes,No,No,No,0,Tablet,Opera,FR,Haynesshire,Returning,148,3,Cart Not Initiated
72,2024-11-28,CUST0072,Email,referral,/sale,Yes,No,No,No,0,Mobile,Chrome,DE,Suttonberg,Returning,112,8,Cart Not Initiated
73,2025-05-17,CUST0073,Email,referral,/collections,Yes,Yes,Yes,Yes,26.11,Mobile,Chrome,DE,New Sabrinaville,Returning,158,10,
74,2025-02-25,CUST0074,TikTok,referral,/about,Yes,Yes,No,No,0,Desktop,Chrome,FR,Farmermouth,Returning,53,13,Checkout Abandoned
75,2025-01-27,CUST0075,Instagram,email,/,Yes,Yes,No,No,0,Tablet,Safari,JP,South Charles,Returning,453,2,Checkout Abandoned
76,2024-11-21,CUST0076,Referral,organic,/,No,No,No,No,0,Desktop,Firefox,MX,Ricardoton,Returning,8,3,Bounced
77,2025-05-19,CUST0077,Organic Search,organic,/sale,Yes,Yes,No,No,0,Desktop,Edge,UK,East Sharon,Returning,580,6,Checkout Abandoned
78,2024-08-04,CUST0078,Referral,social,/products,Yes,No,No,No,0,Tablet,Chrome,UK,Port Kimberlyview,Returning,385,13,Cart Not Initiated
79,2024-10-03,CUST0079,Organic Search,organic,/sale,Yes,No,No,No,0,Mobile,Opera,JP,Ericstad,New Visitor,483,5,Cart Not Initiated
80,2025-01-26,CUST0080,TikTok,email,/products,Yes,Yes,Yes,Yes,305.91,Desktop,Chrome,UK,East Jean,New Visitor,10,15,
81,2024-06-17,CUST0081,Twitter,social,/about,No,No,No,No,0,Tablet,Safari,CA,Port Brianside,Returning,5,1,Bounced
82,2024-10-25,CUST0082,Twitter,social,/,Yes,Yes,Yes,No,0,Tablet,Edge,UK,West Isaac,Returning,479,4,Payment Failed
83,2025-04-01,CUST0083,Direct,referral,/collections,Yes,Yes,No,No,0,Desktop,Chrome,IN,North Andrew,New Visitor,506,8,Checkout Abandoned
84,2024-09-04,CUST0084,Google Ads,email,/collections,Yes,Yes,Yes,No,0,Tablet,Firefox,UK,Roachmouth,Returning,393,4,Price Comparison
85,2024-12-15,CUST0085,Google Ads,social,/sale,Yes,No,No,No,0,Desktop,Chrome,IN,Jonesborough,Returning,100,12,Cart Not Initiated
86,2024-06-18,CUST0086,Pinterest,cpc,/sale,Yes,Yes,Yes,Yes,189.16,Mobile,Safari,FR,Rebeccahaven,Returning,244,9,
87,2024-11-12,CUST0087,Organic Search,referral,/products,Yes,No,No,No,0,Mobile,Safari,FR,West Jessica,Returning,286,11,Cart Not Initiated
88,2025-05-08,CUST0088,Facebook Ads,cpc,/sale,Yes,Yes,Yes,Yes,465.47,Mobile,Firefox,US,Port Kimberlyborough,Returning,125,13,
89,2024-08-01,CUST0089,Pinterest,cpc,/,Yes,No,No,No,0,Tablet,Edge,US,New Adrianberg,Returning,396,3,Cart Not Initiated
90,2025-05-25,CUST0090,TikTok,social,/sale,Yes,No,No,No,0,Tablet,Safari,FR,Howardtown,Returning,199,6,Cart Not Initiated
91,2025-06-05,CUST0091,TikTok,cpc,/products,Yes,Yes,Yes,Yes,225.16,Desktop,Opera,JP,Morgantown,New Visitor,340,7,
92,2024-09-16,CUST0092,Organic Search,email,/about,Yes,Yes,No,No,0,Desktop,Safari,UK,Port Joanna,Returning,80,4,Checkout Abandoned
93,2024-12-31,CUST0093,Instagram,organic,/products,No,No,No,No,0,Mobile,Safari,IN,Toddhaven,Returning,10,2,Bounced
94,2024-06-15,CUST0094,Direct,cpc,/sale,Yes,No,No,No,0,Desktop,Chrome,IN,Williamland,Returning,412,11,Cart Not Initiated
95,2025-02-03,CUST0095,Instagram,email,/products,Yes,Yes,No,No,0,Desktop,Chrome,MX,Adammouth,Returning,446,12,Checkout Abandoned
96,2024-12-17,CUST0096,Twitter,referral,/products,Yes,Yes,Yes,Yes,162.28,Tablet,Firefox,JP,Fernandezside,Returning,14,7,
97,2024-08-29,CUST0097,Instagram,organic,/collections,Yes,Yes,Yes,Yes,228.19,Desktop,Chrome,AU,Phillipsburgh,Returning,525,6,
98,2025-06-11,CUST0098,Instagram,referral,/sale,Yes,No,No,No,0,Mobile,Firefox,MX,New Brianport,Returning,525,5,Cart Not Initiated
99,2024-07-07,CUST0099,Email,email,/about,No,No,No,No,0,Mobile,Firefox,DE,North Luisport,Returning,6,3,Bounced
100,2024-09-09,CUST0100,Referral,organic,/collections,No,No,No,No,0,Mobile,Edge,BR,Stacychester,Returning,17,1,Bounced
101,2024-09-12,CUST0101,Email,email,/collections,Yes,Yes,Yes,No,0,Desktop,Edge,DE,Hooverberg,New Visitor,65,15,Complex Checkout
102,2024-12-08,CUST0102,Referral,social,/,Yes,No,No,No,0,Mobile,Chrome,DE,Port Cody,Returning,146,6,Cart Not Initiated
103,2024-11-20,CUST0103,Organic Search,organic,/products,Yes,Yes,No,No,0,Tablet,Opera,FR,Maryside,Returning,176,6,Checkout Abandoned
104,2025-02-13,CUST0104,Google Ads,social,/,Yes,No,No,No,0,Desktop,Safari,FR,North Bradley,Returning,505,4,Cart Not Initiated
105,2024-07-28,CUST0105,Referral,organic,/products,Yes,Yes,Yes,Yes,70.0,Desktop,Chrome,AU,Kimfurt,Returning,182,7,
106,2025-01-13,CUST0106,Facebook Ads,organic,/about,Yes,No,No,No,0,Tablet,Chrome,UK,North Markland,Returning,562,9,Cart Not Initiated
107,2025-05-19,CUST0107,TikTok,email,/about,Yes,No,No,No,0,Mobile,Chrome,CA,New Michaelstad,New Visitor,544,2,Cart Not Initiated
108,2024-12-02,CUST0108,Referral,cpc,/sale,Yes,Yes,No,No,0,Desktop,Edge,US,Newtonberg,New Visitor,270,6,Checkout Abandoned
109,2025-04-09,CUST0109,Facebook Ads,email,/about,Yes,Yes,No,No,0,Desktop,Edge,CA,Mendezland,Returning,270,15,Checkout Abandoned
110,2024-11-15,CUST0110,Referral,email,/sale,Yes,Yes,Yes,Yes,458.63,Mobile,Chrome,UK,Port Hannah,Returning,348,7,
111,2025-02-04,CUST0111,Facebook Ads,referral,/sale,Yes,No,No,No,0,Desktop,Edge,BR,Clarkhaven,New Visitor,488,4,Cart Not Initiated
112,2025-04-01,CUST0112,Direct,social,/about,No,No,No,No,0,Tablet,Chrome,MX,Lopezberg,Returning,27,3,Bounced
113,2024-11-03,CUST0113,Google Ads,organic,/,Yes,Yes,No,No,0,Mobile,Chrome,US,New Amandaland,Returning,534,9,Checkout Abandoned
114,2025-05-26,CUST0114,Facebook Ads,organic,/products,No,No,No,No,0,Tablet,Opera,UK,Weeksborough,Returning,5,1,Bounced
115,2024-09-11,CUST0115,Organic Search,cpc,/collections,No,No,No,No,0,Mobile,Firefox,AU,Mitchellport,Returning,4,3,Bounced
116,2024-11-25,CUST0116,Instagram,social,/,Yes,Yes,Yes,Yes,134.67,Mobile,Opera,BR,Lake Daisymouth,New Visitor,318,3,
