match_id,season,match_date,venue,team1,team2,innings1_runs,innings1_wickets,innings1_overs,innings2_runs,innings2_wickets,innings2_overs,result,winner,win_margin,player_of_match,top_scorer,top_scorer_runs,best_bowler,best_bowler_wickets,total_fours,total_sixes,powerplay_runs,death_overs_runs,toss_winner,toss_decision,attendance_approx
1,2017,2017-03-19,DY Patil,Kochi Tuskers Kerala,Deccan Chargers,203,3,20.0,218,2,20.0,Normal,Deccan Chargers,8 wickets,Virat Kohli,Shubman Gill,110,Rohit Sharma,6,15,25,43,53,Deccan Chargers,Field,59191
2,2012,2012-03-31,Narendra Modi,Pune Warriors India,Rising Pune Supergiant,130,9,20.0,190,8,20.0,Normal,Rising Pune Supergiant,2 wickets,Virat Kohli,Andre Russell,135,KL Rahul,3,39,23,62,59,Rising Pune Supergiant,Bat,74376
3,2016,2016-04-06,Ekana,Deccan Chargers,Pune Warriors India,180,5,20.0,211,7,20.0,Normal,Pune Warriors India,3 wickets,Jos Buttler,Shubman Gill,106,Rinku Singh,5,18,22,43,54,Deccan Chargers,Bat,37709
4,2019,2019-04-01,Chepauk,Punjab Kings,Pune Warriors India,191,6,20.0,153,3,20.0,Normal,Punjab Kings,38 runs,Rinku Singh,Jasprit Bumrah,66,KL Rahul,3,28,24,47,48,Punjab Kings,Bat,34941
5,2022,2022-05-03,Rajiv Gandhi,Deccan Chargers,Kochi Tuskers Kerala,148,2,20.0,188,8,20.0,Normal,Kochi Tuskers Kerala,2 wickets,Rashid Khan,Chris Gayle,129,R Ashwin,6,22,24,75,82,Deccan Chargers,Field,51776
6,2008,2008-04-21,Chepauk,Kolkata Knight Riders,Gujarat Titans,103,8,20.0,104,3,20.0,Normal,Gujarat Titans,7 wickets,Rashid Khan,Rinku Singh,90,Suryakumar Yadav,5,32,9,32,78,Kolkata Knight Riders,Field,29126
7,2014,2014-05-23,PCA,Rising Pune Supergiant,Pune Warriors India,191,2,20.0,178,2,20.0,Normal,Rising Pune Supergiant,13 runs,Rinku Singh,R Ashwin,50,KL Rahul,3,15,12,78,96,Pune Warriors India,Field,66917
8,2014,2014-04-08,Ekana,Gujarat Titans,Kochi Tuskers Kerala,101,9,20.0,153,5,20.0,Normal,Kochi Tuskers Kerala,5 wickets,Rinku Singh,Sanju Samson,83,Chris Gayle,5,18,14,53,94,Gujarat Titans,Field,23467
9,2016,2016-05-23,PCA,Deccan Chargers,Mumbai Indians,106,10,20.0,54,8,20.0,Normal,Deccan Chargers,52 runs,Jasprit Bumrah,Andre Russell,112,MS Dhoni,6,29,9,55,66,Deccan Chargers,Field,32874
10,2008,2008-04-15,Ekana,Delhi Capitals,Mumbai Indians,254,10,20.0,210,4,20.0,Normal,Delhi Capitals,44 runs,Rinku Singh,Virat Kohli,69,KL Rahul,4,21,22,53,75,Delhi Capitals,Bat,41690
