ProductID,ProductName,Category,UnitPrice,Stock,SupplierID,SupplierName
P0001,Product 1,Clothing,619.2,279,SUP03,HomeCenter
P0002,Product 2,Home,1467.46,290,SUP01,TechWorld
P0003,Product 3,Food,174.18,246,SUP03,HomeCenter
P0004,Product 4,Electronics,1096.63,269,SUP02,FashionHouse
P0005,Product 5,Home,777.84,267,SUP04,FoodMart
P0006,Product 6,Electronics,711.32,379,SUP02,FashionHouse
P0007,Product 7,Electronics,921.49,462,SUP03,HomeCenter
P0008,Product 8,Home,705.96,262,SUP01,TechWorld
P0009,Product 9,Food,634.42,491,SUP03,HomeCenter
P0010,Product 10,Home,255.42,355,SUP03,HomeCenter
P0011,Product 11,Home,96.82,242,SUP03,HomeCenter
P0012,Product 12,Clothing,986.2,149,SUP01,TechWorld
P0013,Product 13,Electronics,729.72,64,SUP03,HomeCenter
P0014,Product 14,Electronics,381.82,315,SUP03,HomeCenter
P0015,Product 15,Home,1287.5,7,SUP03,HomeCenter
P0016,Product 16,Electronics,1365.65,378,SUP02,FashionHouse
P0017,Product 17,Clothing,557.8,89,SUP04,FoodMart
P0018,Product 18,Home,729.95,409,SUP02,FashionHouse
P0019,Product 19,Electronics,1476.19,495,SUP03,HomeCenter
P0020,Product 20,Clothing,1257.23,385,SUP02,FashionHouse
P0021,Product 21,Food,360.73,225,SUP04,FoodMart
P0022,Product 22,Clothing,868.75,431,SUP02,FashionHouse
P0023,Product 23,Home,965.18,386,SUP01,TechWorld
P0024,Product 24,Electronics,255.56,204,SUP01,TechWorld
P0025,Product 25,Food,717.02,485,SUP03,HomeCenter
P0026,Product 26,Clothing,1026.85,199,SUP04,FoodMart
P0027,Product 27,Food,222.0,445,SUP03,HomeCenter
P0028,Product 28,Food,436.74,408,SUP01,TechWorld
P0029,Product 29,Food,1019.35,492,SUP04,FoodMart
P0030,Product 30,Electronics,1376.98,326,SUP01,TechWorld
P0031,Product 31,Home,917.68,333,SUP04,FoodMart
P0032,Product 32,Home,409.14,410,SUP03,HomeCenter
P0033,Product 33,Electronics,983.24,200,SUP03,HomeCenter
P0034,Product 34,Food,1102.8,301,SUP02,FashionHouse
P0035,Product 35,Clothing,1018.19,92,SUP03,HomeCenter
P0036,Product 36,Home,1010.84,425,SUP01,TechWorld
P0037,Product 37,Electronics,619.82,268,SUP01,TechWorld
P0038,Product 38,Electronics,530.52,371,SUP04,FoodMart
P0039,Product 39,Home,293.65,12,SUP03,HomeCenter
P0040,Product 40,Electronics,1408.07,336,SUP01,TechWorld
P0041,Product 41,Clothing,1063.57,61,SUP01,TechWorld
P0042,Product 42,Electronics,567.06,391,SUP02,FashionHouse
P0043,Product 43,Clothing,1045.0,129,SUP01,TechWorld
P0044,Product 44,Home,992.41,38,SUP04,FoodMart
P0045,Product 45,Food,1155.19,354,SUP03,HomeCenter
P0046,Product 46,Home,247.14,37,SUP03,HomeCenter
P0047,Product 47,Home,577.28,170,SUP01,TechWorld
P0048,Product 48,Electronics,1433.63,135,SUP03,HomeCenter
P0049,Product 49,Clothing,108.75,475,SUP04,FoodMart
P0050,Product 50,Clothing,271.77,251,SUP04,FoodMart
