Date,Product,Units,Revenue,Region
2025-01-04,Prod5,35,3866.67,South
2025-01-20,Prod4,29,3605.46,North
2025-01-02,Prod3,5,2899.59,East
2025-01-25,Prod15,2,4492.91,South
2025-01-21,Prod1,3,3356.57,East
2025-01-05,Prod11,26,2915.74,West
2025-01-16,Prod14,26,4235.84,North
2025-01-18,Prod8,1,1983.68,West
2025-01-04,Prod19,35,4681.71,East
2025-01-11,Prod10,26,370.45,North
2025-01-12,Prod18,22,494.24,West
2025-01-25,Prod10,42,1095.29,North
2025-01-13,Prod7,20,3509.82,North
2025-01-21,Prod12,32,515.83,West
2025-01-24,Prod7,9,274.92,North
2025-01-24,Prod19,16,2497.24,North
2025-01-26,Prod18,42,1607.88,West
2025-01-01,Prod2,22,374.67,North
2025-01-13,Prod4,14,4054.81,West
2025-01-22,Prod18,10,3731.15,South
2025-01-03,Prod2,48,793.79,North
2025-01-16,Prod20,3,1289.14,South
2025-01-01,Prod6,41,344.79,East
2025-01-27,Prod4,30,3095.01,North
2025-01-27,Prod4,8,2536.0,South
2025-01-03,Prod7,28,1752.98,West
2025-01-11,Prod4,44,2922.24,South
2025-01-11,Prod7,49,323.37,South
2025-01-11,Prod3,8,1442.08,West
2025-01-06,Prod12,36,908.53,South
2025-01-19,Prod2,9,589.84,West
2025-01-25,Prod6,2,4410.17,North
2025-01-01,Prod1,12,4638.07,East
2025-01-14,Prod16,45,721.77,South
2025-01-21,Prod9,34,2307.05,South
2025-01-06,Prod20,45,284.34,South
2025-01-23,Prod16,40,4756.46,East
2025-01-12,Prod14,1,2832.78,South
2025-01-04,Prod17,7,3132.71,South
2025-01-15,Prod7,18,360.04,North
2025-01-26,Prod5,44,4234.53,West
2025-01-16,Prod6,11,3383.7,North
2025-01-02,Prod12,19,1126.99,East
2025-01-11,Prod20,49,2320.42,North
2025-01-24,Prod2,35,961.85,North
2025-01-16,Prod17,8,447.21,South
2025-01-24,Prod15,38,2940.83,West
2025-01-07,Prod11,15,3916.98,East
2025-01-08,Prod4,16,3714.96,South
2025-01-13,Prod8,5,2407.85,West
