Date,Product,Units,Revenue,Region
2025-03-16,Prod5,30,4646.28,South
2025-03-01,Prod18,33,1723.28,East
2025-03-16,Prod10,49,4905.38,South
2025-03-26,Prod19,47,4543.72,West
2025-03-11,Prod4,47,2447.01,North
2025-03-05,Prod18,8,1609.6,West
2025-03-20,Prod8,29,1851.23,East
2025-03-02,Prod20,42,1056.23,South
2025-03-26,Prod9,13,210.49,West
2025-03-22,Prod3,33,2032.68,West
2025-03-11,Prod20,39,2606.62,North
2025-03-22,Prod12,26,824.94,West
2025-03-12,Prod13,24,159.73,East
2025-03-12,Prod10,29,4384.08,North
2025-03-07,Prod15,48,4963.73,West
2025-03-10,Prod6,47,4854.77,West
2025-03-24,Prod14,9,4194.01,North
2025-03-05,Prod7,20,2425.6,East
2025-03-03,Prod19,49,1941.28,North
2025-03-14,Prod9,27,956.98,West
2025-03-23,Prod19,49,4582.87,South
2025-03-06,Prod13,19,2813.95,North
2025-03-27,Prod10,38,1589.18,West
2025-03-08,Prod1,1,854.72,East
2025-03-21,Prod16,8,3303.68,East
2025-03-14,Prod6,32,4543.29,South
2025-03-01,Prod4,49,1458.36,North
2025-03-20,Prod12,38,2454.38,West
2025-03-28,Prod9,41,3460.97,North
2025-03-12,Prod17,47,2918.79,East
2025-03-06,Prod19,4,816.07,West
2025-03-23,Prod5,23,900.21,East
2025-03-12,Prod14,41,4569.31,East
2025-03-02,Prod10,19,2695.1,North
2025-03-17,Prod7,50,3177.35,North
2025-03-20,Prod6,35,1680.77,East
2025-03-27,Prod10,18,3458.67,East
2025-03-04,Prod18,38,1822.98,South
2025-03-01,Prod5,34,1478.95,West
2025-03-14,Prod11,11,601.85,South
2025-03-17,Prod8,13,3996.02,North
2025-03-14,Prod15,5,671.17,South
2025-03-01,Prod16,23,1626.71,East
2025-03-05,Prod15,39,2663.29,East
2025-03-06,Prod10,2,3747.86,North
2025-03-08,Prod5,45,797.56,South
2025-03-10,Prod5,14,738.07,North
2025-03-14,Prod4,5,192.15,West
2025-03-25,Prod14,3,1062.12,North
2025-03-26,Prod17,38,390.4,North
